Depth, A	Simulated curve 4	Depth, A	Simulated curve 2	Depth, A	Simulated curve 3	Depth, A	Simulated curve 1
19,13497	6,38018E-7	36,81208	2,1401E-32	13,02683	0,98564	23,00667	0,7042
18,86513	1,76193E-6	36,61814	1,3278E-31	13,22078	0,98806	22,81272	0,71081
18,59529	4,38317E-6	36,4242	8,0493E-31	13,41472	0,99032	22,61878	0,71732
18,32545	1,11641E-5	36,23026	4,7682E-30	13,60866	0,9924	22,42484	0,72377
18,05561	2,67772E-5	36,03632	2,76E-29	13,8026	0,99427	22,23089	0,72948
17,78577	6,05681E-5	35,84238	1,561E-28	13,99654	0,99593	22,03695	0,73519
17,51593	1,39504E-4	35,64844	8,627E-28	14,19049	0,99734	21,84301	0,7406
17,24609	2,96244E-4	35,4545	4,6587E-27	14,38444	0,99847	21,64907	0,74534
16,97626	6,24281E-4	35,26056	2,4583E-26	14,57838	0,9993	21,45512	0,75008
16,70642	0,00126	35,06662	1,2675E-25	14,77232	0,99982	21,26118	0,7542
16,43658	0,00241	34,87268	6,3858E-25	14,96626	1	21,06723	0,75779
16,16674	0,00462	34,67874	3,1437E-24	15,1602	0,99866	20,87329	0,76139
15,89689	0,00831	34,4848	1,5122E-23	15,35414	0,99474	20,67935	0,76396
15,62705	0,01461	34,29086	7,1081E-23	15,54809	0,98851	20,48541	0,76623
15,35721	0,02481	34,09692	3,2646E-22	15,74204	0,98017	20,29147	0,76849
15,08738	0,04006	33,90298	1,4651E-21	15,93598	0,96998	20,09752	0,76933
14,81754	0,06395	33,70904	6,4249E-21	16,12992	0,95817	19,90357	0,77017
14,5477	0,09716	33,5151	2,753E-20	16,32386	0,94496	19,70963	0,77072
14,27786	0,14283	33,32116	1,1527E-19	16,51781	0,93058	19,51569	0,7704
14,00802	0,20361	33,12722	4,7159E-19	16,71175	0,91527	19,32175	0,77009
13,73818	0,27845	32,93328	1,8853E-18	16,90569	0,89925	19,12781	0,76943
13,46834	0,36983	32,73934	7,3643E-18	17,09964	0,88277	18,93387	0,76839
13,1985	0,47333	32,5454	2,8109E-17	17,29358	0,86606	18,73991	0,76735
12,92866	0,58466	32,35146	1,0484E-16	17,48752	0,84933	18,54597	0,76593
12,65882	0,6978	32,15752	3,8207E-16	17,68147	0,83285	18,35203	0,76435
12,38898	0,80481	31,96358	1,3605E-15	17,87541	0,8168	18,15809	0,76278
12,11914	0,89483	31,76964	4,7342E-15	18,06935	0,80146	17,96415	0,76082
11,8493	0,96181	31,5757	1,6096E-14	18,26329	0,78704	17,7702	0,75884
11,57946	0,99925	31,38176	5,3476E-14	18,45724	0,77377	17,57626	0,75681
11,30963	1	31,18782	1,736E-13	18,65118	0,7619	17,38231	0,75457
11,03978	0,9692	30,99388	5,5068E-13	18,84513	0,75092	17,18837	0,75232
10,76994	0,90474	30,79994	1,7068E-12	19,03907	0,7402	16,99443	0,75002
10,5001	0,81666	30,606	5,1695E-12	19,23301	0,72969	16,80049	0,74764
10,23026	0,71186	30,41206	1,5299E-11	19,42695	0,7194	16,60654	0,74526
9,96042	0,59897	30,21812	4,4239E-11	19,62089	0,70928	16,4126	0,74288
9,69058	0,48648	30,02418	1,25E-10	19,81484	0,69931	16,21866	0,7405
9,42075	0,38222	29,83024	3,4513E-10	20,00879	0,68946	16,02471	0,73811
9,15091	0,28925	29,6363	9,3112E-10	20,20273	0,67972	15,83077	0,73586
8,88107	0,21194	29,44236	2,4546E-9	20,39667	0,67006	15,63683	0,73361
8,61123	0,14982	29,24842	6,3227E-9	20,59061	0,66046	15,44288	0,7314
8,34139	0,10193	29,05448	1,5914E-8	20,78455	0,65088	15,24894	0,72943
8,07154	0,0675	28,86054	0,00102	20,97849	0,6413	15,055	0,72745
7,8017	0,04256	28,6666	0,00102	21,17245	0,63171	14,86106	0,72563
7,53187	0,02641	28,47266	0,00102	21,36639	0,62208	14,66711	0,72405
7,26203	0,01556	28,27872	0,00178	21,56033	0,61237	14,47317	0,72248
6,99219	0,00897	28,08478	0,00302	21,75427	0,60258	14,27922	0,72124
6,72235	0,00495	27,89084	0,00501	21,94821	0,59267	14,08528	0,7202
6,45251	0,00264	27,6969	0,00812	22,14216	0,58261	13,89134	0,71916
6,18267	0,00137	27,6613	0,01287	22,3361	0,5724	13,6974	0,71867
5,91283	6,73449E-4	27,46736	0,01993	22,53005	0,56194	13,50346	0,71827
5,64299	3,30192E-4	27,27342	0,03016	22,72399	0,55125	13,30951	0,71792
5,37315	1,48689E-4	27,07947	0,04459	22,91793	0,54034	13,11556	0,71801
5,10331	6,89013E-5	27,07947	0,0463	23,11187	0,52926	12,92162	0,7181
4,83347	2,90804E-5	26,88553	0,06671	23,30582	0,51806	12,72768	0,71828
4,56363	1,2462E-5	26,69158	0,09406	23,49976	0,50677	12,53374	0,71865
4,29379	4,97447E-6	26,49764	0,12938	23,6937	0,49542	12,3398	0,71902
4,02395	1,95117E-6	26,3037	0,17389	23,88765	0,48407	12,14586	0,71951
3,75412	7,39267E-7	26,10976	0,22842	24,08159	0,47274	11,95191	0,72011
3,48427	2,64849E-7	25,91582	0,29351	24,27553	0,46147	11,75796	0,72071
3,21443	9,5289E-8	25,72187	0,36807	24,46948	0,45032	11,56402	0,72148
2,94459	3,09877E-8	25,52792	0,45105	24,66342	0,43931	11,37008	0,72229
2,67475	1,06358E-8	25,33398	0,54018	24,85736	0,42848	11,17614	0,72311
2,40491	3,12944E-9	25,14004	0,63253	25,0513	0,41789	10,98219	0,72412
2,13507	1,02889E-9	24,9461	0,72321	25,24525	0,40755	10,78825	0,72513
1,86524	2,88603E-10	24,75216	0,80804	25,43919	0,39751	10,59431	0,72619
1,5954	8,58059E-11	24,55821	0,88225	25,63314	0,38782	10,40036	0,72739
1,32556	2,32204E-11	24,36426	0,94147	25,82708	0,37852	10,20642	0,72859
1,05572	6,18057E-12	24,17032	0,98144	26,02102	0,36962	10,01248	0,72988
0,78588	1,61706E-12	23,97638	0,99977	26,21496	0,36116	9,81853	0,73125
0,51603	3,83205E-13	23,78244	0,9952	26,4089	0,35306	9,62459	0,73262
0,24619	9,70483E-14	23,5885	0,96786	26,60284	0,34528	9,43065	0,73411
-0,02364	2,04692E-14	23,39455	0,9199	26,7968	0,33779	9,23671	0,73564
-0,29348	5,03327E-15	23,20061	0,85438	26,99074	0,33053	9,04276	0,73716
-0,56332	9,45683E-16	23,00667	0,77538	27,18468	0,32349	8,84882	0,73883
-0,83316	2,23908E-16	22,81272	0,68724	27,37862	0,3166	8,65487	0,74051
--	--	22,61878	0,59554	27,57256	0,30982	8,46093	0,74221
--	--	22,42484	0,50431	27,7665	0,30311	8,26699	0,74401
--	--	22,23089	0,41725	27,96045	0,29645	8,07305	0,74581
--	--	22,03695	0,33706	28,1544	0,28977	7,87911	0,74767
--	--	21,84301	0,2663	28,34834	0,28304	7,68516	0,74959
--	--	21,64907	0,2056	28,54228	0,27623	7,49121	0,7515
--	--	21,45512	0,15509	28,73622	0,26928	7,29727	0,75361
--	--	21,26118	0,11419	28,93017	0,26216	7,10333	0,75581
--	--	21,06723	0,08225	29,12411	0,25482	6,90939	0,758
--	--	20,87329	0,0579	29,31805	0,24723	6,71545	0,76149
--	--	20,67935	0,03982	29,512	0,23934	6,52151	0,76507
--	--	20,48541	0,02672	29,70594	0,2311	6,32755	0,76903
--	--	20,29147	0,01755	29,89988	0,22222	6,13361	0,77487
--	--	20,09752	0,01126	30,09383	0,21247	5,93967	0,78071
--	--	19,90357	0,00706	30,28777	0,20196	5,74573	0,78733
--	--	19,70963	0,00432	30,48171	0,19087	5,55179	0,79509
--	--	19,51569	0,00259	30,67565	0,17931	5,35784	0,80285
--	--	19,32175	0,00151	30,8696	0,1674	5,1639	0,8115
--	--	19,12781	8,64868E-4	31,06354	0,15529	4,96995	0,82066
--	--	18,93387	4,82169E-4	31,25749	0,14311	4,77601	0,82982
--	--	18,73991	2,63225E-4	31,45143	0,13098	4,58207	0,83974
--	--	18,54597	1,40428E-4	31,64537	0,11906	4,38813	0,84977
--	--	18,35203	7,31764E-5	31,83931	0,10745	4,19418	0,85984
--	--	18,15809	3,71841E-5	32,03325	0,0963	4,00024	0,87022
--	--	17,96415	1,85082E-5	32,2272	0,08573	3,8063	0,8806
--	--	17,7702	9,00174E-6	32,42115	0,0759	3,61235	0,89092
--	--	17,57626	4,2765E-6	32,61509	0,0669	3,41841	0,90113
--	--	17,38231	1,98088E-6	32,80903	0,05891	3,22447	0,91134
--	--	17,18837	8,98901E-7	33,00297	0,05203	3,03052	0,92113
--	--	16,99443	3,98599E-7	33,19691	0,0464	2,83658	0,93065
--	--	16,80049	1,72638E-7	33,39085	0,04216	2,64264	0,94016
--	--	16,60654	7,2889E-8	33,58481	0,03871	2,4487	0,94867
--	--	16,4126	3,01563E-8	33,77875	0,03539	2,25475	0,95696
--	--	16,21866	1,21918E-8	33,97269	0,03221	2,06081	0,96515
--	--	16,02471	4,81389E-9	34,16663	0,02917	1,86686	0,9717
--	--	15,83077	1,8527E-9	34,36057	0,02627	1,67292	0,97826
--	--	15,63683	6,98827E-10	34,55451	0,02349	1,47898	0,98413
--	--	15,44288	2,57572E-10	34,74846	0,02088	1,28504	0,98842
--	--	15,24894	9,27167E-11	34,94241	0,0184	1,0911	0,99271
--	--	15,055	3,25275E-11	35,13635	0,01608	0,89716	0,99562
--	--	14,86106	1,11858E-11	35,33029	0,0139	0,7032	0,99734
--	--	14,66711	3,75891E-12	35,52423	0,01189	0,50926	0,99905
--	--	14,47317	1,23359E-12	35,71818	0,01004	0,31532	0,9996
--	--	14,27922	3,94487E-13	35,91212	0,00834	0,12138	0,9998
--	--	14,08528	1,23677E-13	36,10606	0,0068	--	--
--	--	13,89134	3,78906E-14	36,30001	0,00544	--	--
--	--	13,6974	1,13366E-14	36,49395	0,00423	--	--
--	--	13,50346	3,30465E-15	36,68789	0,00321	--	--
--	--	13,30951	9,44627E-16	36,88184	0,00236	--	--
--	--	13,11556	2,63835E-16	37,07578	0,00167	--	--
--	--	12,92162	7,19619E-17	37,26972	0,0011	--	--
--	--	12,72768	1,91215E-17	37,46366	5,38836E-4	--	--
--	--	12,53374	4,9831E-18	36,88184	0,00236	--	--
--	--	12,3398	1,26896E-18	37,07578	0,00167	--	--
--	--	12,14586	3,15523E-19	37,26972	0,0011	--	--
--	--	11,95191	7,64299E-20	37,46366	5,38836E-4	--	--
--	--	11,75796	1,81591E-20	--	--	--	--
--	--	11,56402	4,21573E-21	--	--	--	--
--	--	11,37008	9,55602E-22	--	--	--	--
--	--	11,17614	2,11012E-22	--	--	--	--
--	--	10,98219	4,56821E-23	--	--	--	--
--	--	10,78825	9,68577E-24	--	--	--	--
--	--	10,59431	2,01281E-24	--	--	--	--
--	--	10,40036	4,08781E-25	--	--	--	--
--	--	10,20642	8,11397E-26	--	--	--	--
--	--	10,01248	1,57405E-26	--	--	--	--
--	--	9,81853	2,98427E-27	--	--	--	--
--	--	9,62459	5,52995E-28	--	--	--	--
--	--	9,43065	1,00151E-28	--	--	--	--
--	--	9,23671	1,7726E-29	--	--	--	--
--	--	9,04276	3,06632E-30	--	--	--	--
--	--	8,84882	5,18399E-31	--	--	--	--
--	--	8,65487	8,5652E-32	--	--	--	--
--	--	8,46093	1,3831E-32	--	--	--	--
--	--	8,26699	2,18277E-33	--	--	--	--
--	--	8,07305	3,3667E-34	--	--	--	--
--	--	7,87911	5,07487E-35	--	--	--	--
--	--	7,68516	7,47589E-36	--	--	--	--
--	--	7,49121	1,07634E-36	--	--	--	--
--	--	7,29727	1,5145E-37	--	--	--	--
--	--	7,10333	2,08237E-38	--	--	--	--
--	--	6,90939	2,79843E-39	--	--	--	--
--	--	6,71545	3,67515E-40	--	--	--	--
--	--	6,52151	4,7168E-41	--	--	--	--
--	--	6,32755	5,91612E-42	--	--	--	--
--	--	6,13361	7,22145E-43	--	--	--	--
--	--	5,93967	8,68344E-44	--	--	--	--
--	--	5,74573	1,02847E-44	--	--	--	--
--	--	5,55179	1,18786E-45	--	--	--	--
--	--	5,35784	1,34393E-46	--	--	--	--
--	--	5,1639	1,47422E-47	--	--	--	--
--	--	4,96995	1,57775E-48	--	--	--	--
--	--	4,77601	1,65143E-49	--	--	--	--
--	--	4,58207	1,66859E-50	--	--	--	--
--	--	4,38813	1,64511E-51	--	--	--	--
--	--	4,19418	1,5818E-52	--	--	--	--
--	--	4,00024	1,45657E-53	--	--	--	--
--	--	3,8063	1,30805E-54	--	--	--	--
--	--	3,61235	1,1377E-55	--	--	--	--
--	--	3,41841	9,51287E-57	--	--	--	--
--	--	3,22447	7,40477E-58	--	--	--	--
--	--	3,03052	5,55167E-59	--	--	--	--
--	--	2,83658	3,87249E-60	--	--	--	--
--	--	2,64264	2,76734E-61	--	--	--	--
--	--	2,4487	2,26882E-62	--	--	--	--
--	--	2,25475	1,81749E-63	--	--	--	--
--	--	2,06081	1,41658E-64	--	--	--	--
--	--	1,86686	1,08433E-65	--	--	--	--
--	--	1,67292	8,10181E-67	--	--	--	--
--	--	1,47898	5,89225E-68	--	--	--	--
--	--	1,28504	4,20736E-69	--	--	--	--
--	--	1,0911	2,93495E-70	--	--	--	--
--	--	0,89716	1,9955E-71	--	--	--	--
--	--	0,7032	1,32123E-72	--	--	--	--
--	--	0,50926	8,5832E-74	--	--	--	--
--	--	0,31532	5,42507E-75	--	--	--	--
--	--	0,12138	3,34051E-76	--	--	--	--
--	--	-0,07256	2,01677E-77	--	--	--	--
--	--	-0,2665	1,18168E-78	--	--	--	--
--	--	-0,46045	6,74893E-80	--	--	--	--
--	--	-0,6544	3,77369E-81	--	--	--	--
--	--	-0,84834	2,03996E-82	--	--	--	--
--	--	-1,04228	1,07516E-83	--	--	--	--
--	--	-1,23622	5,53374E-85	--	--	--	--
--	--	-1,43017	2,766E-86	--	--	--	--
--	--	-1,62411	1,32314E-87	--	--	--	--
--	--	-1,81805	6,16388E-89	--	--	--	--
--	--	-2,012	2,78098E-90	--	--	--	--
--	--	-2,20594	1,17798E-91	--	--	--	--
--	--	-2,39988	4,82222E-93	--	--	--	--
--	--	-2,59383	1,86448E-94	--	--	--	--
--	--	-2,78777	6,30884E-96	--	--	--	--
--	--	-2,98171	1,91494E-97	--	--	--	--
--	--	-3,17565	6,15008E-99	--	--	--	--
--	--	-3,3696	2,55586E-100	--	--	--	--
--	--	-3,56354	1,04352E-101	--	--	--	--
--	--	-3,75749	4,16431E-103	--	--	--	--
--	--	-3,95143	1,62265E-104	--	--	--	--
--	--	-4,14537	6,15166E-106	--	--	--	--
--	--	-4,33931	2,29048E-107	--	--	--	--
--	--	-4,53325	8,31835E-109	--	--	--	--
--	--	-4,7272	2,94013E-110	--	--	--	--
--	--	-4,92115	1,02018E-111	--	--	--	--
--	--	-5,11509	3,44757E-113	--	--	--	--
--	--	-5,30903	1,13435E-114	--	--	--	--
--	--	-5,50297	3,66186E-116	--	--	--	--
