Wavelength, nm	Absorbance, a.u. - curve 4	Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3	Wavelength, nm	Absorbance, a.u. - curve 2
200	-0,19809	174,22798	4	174,22798	0,54307	174,22798	-0,2762
200,2	-0,19593	174,8327	1,25393	174,8327	0,04652	174,8327	-0,24777
200,4	-0,19529	175,43739	0,78501	175,43739	0,02939	175,43739	-0,16572
200,6	-0,194	176,04207	0,54169	176,04207	-0,00273	176,04207	-0,15128
200,8	-0,19288	176,64671	0,42501	176,64671	-0,02312	176,64671	-0,13504
201	-0,19237	177,25134	0,3435	177,25134	-0,03899	177,25134	-0,14
201,2	-0,19174	177,85594	0,26708	177,85594	-0,06451	177,85594	-0,1432
201,4	-0,19059	178,46051	0,22435	178,46051	-0,06662	178,46051	-0,1341
201,6	-0,18979	179,06506	0,19902	179,06506	-0,06659	179,06506	-0,12953
201,8	-0,18893	179,66959	0,18231	179,66959	-0,06089	179,66959	-0,11913
202	-0,18799	180,27409	0,1697	180,27409	-0,05638	180,27409	-0,10983
202,2	-0,18704	180,87857	-0,01865	180,87857	-0,05901	180,87857	-0,10971
202,4	-0,18601	181,48303	-0,02556	181,48303	-0,06635	181,48303	-0,11246
202,6	-0,18506	182,08746	-0,02188	182,08746	-0,06629	182,08746	-0,11253
202,8	-0,18405	182,69186	-0,03171	182,69186	-0,0656	182,69186	-0,11279
203	-0,18303	183,29625	-0,03607	183,29625	-0,06643	183,29625	-0,11032
203,2	-0,18217	183,9006	-0,03646	183,9006	-0,08594	183,9006	-0,10715
203,4	-0,18125	184,50493	-0,03276	184,50493	-0,08443	184,50493	-0,10786
203,6	-0,18028	185,10924	-0,03414	185,10924	-0,07239	185,10924	-0,10336
203,8	-0,17941	185,71353	-0,03323	185,71353	-0,07849	185,71353	-0,10669
204	-0,17842	186,31778	-0,04256	186,31778	-0,07961	186,31778	-0,10008
204,2	-0,1773	186,92203	-0,04078	186,92203	-0,08679	186,92203	-0,10339
204,4	-0,17622	187,52623	-0,0319	187,52623	-0,08195	187,52623	-0,10188
204,6	-0,17518	188,13042	-0,02558	188,13042	-0,08541	188,13042	-0,10366
204,8	-0,17415	188,73457	-0,0219	188,73457	-0,08208	188,73457	-0,0978
205	-0,17316	189,33871	-0,02349	189,33871	-0,07883	189,33871	-0,09291
205,2	-0,17195	189,94283	-0,02804	189,94283	-0,07253	189,94283	-0,09327
205,4	-0,17089	190,54692	-0,02368	190,54692	-0,06766	190,54692	-0,09165
205,6	-0,16988	191,15099	-0,02546	191,15099	-0,06093	191,15099	-0,08628
205,8	-0,16865	191,75502	-0,03805	191,75502	-0,06078	191,75502	-0,08627
206	-0,16738	192,35904	-0,0328	192,35904	-0,05807	192,35904	-0,07934
206,2	-0,16635	192,96303	-0,02902	192,96303	-0,05941	192,96303	-0,08789
206,4	-0,16513	193,56699	-0,03425	193,56699	-0,05919	193,56699	-0,08907
206,6	-0,1641	194,17093	-0,02965	194,17093	-0,06206	194,17093	-0,09119
206,8	-0,16295	194,77486	-0,01931	194,77486	-0,06208	194,77486	-0,08733
207	-0,16167	195,37874	-0,0116	195,37874	-0,06409	195,37874	-0,09348
207,2	-0,16048	195,9826	-0,01077	195,9826	-0,0677	195,9826	-0,09121
207,4	-0,15922	196,58646	-0,01152	196,58646	-0,06921	196,58646	-0,09879
207,6	-0,15789	197,19028	-0,01912	197,19028	-0,06869	197,19028	-0,09994
207,8	-0,15664	197,79407	-0,02091	197,79407	-0,0739	197,79407	-0,09839
208	-0,15535	198,39783	-0,0248	198,39783	-0,06734	198,39783	-0,09512
208,2	-0,15396	199,00157	-0,02039	199,00157	-0,06962	199,00157	-0,09366
208,4	-0,15269	199,6053	-0,02517	199,6053	-0,0641	199,6053	-0,09068
208,6	-0,15132	200,20898	-0,02586	200,20898	-0,06387	200,20898	-0,0916
208,8	-0,1499	200,81265	-0,03517	200,81265	-0,06484	200,81265	-0,09337
209	-0,14861	201,41631	-0,03172	201,41631	-0,06902	201,41631	-0,09072
