AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	--	0,03561	0,1436	0,03657	0,03794
--	--	--	--	--	--	0,03569	0,14415	0,03667	0,03816
--	--	--	--	--	--	0,03577	0,1447	0,03676	0,03838
--	--	--	--	--	--	0,03586	0,14526	0,03685	0,03861
--	--	--	--	--	--	0,03594	0,14581	0,03695	0,03883
--	--	--	--	--	--	0,03603	0,14637	0,03704	0,03906
--	--	--	--	--	--	0,03611	0,14693	0,03714	0,03928
--	--	--	--	--	--	0,0362	0,14749	0,03723	0,03951
--	--	--	--	--	--	0,03628	0,14805	0,03733	0,03974
--	--	--	--	--	--	0,03636	0,14861	0,03742	0,03997
--	--	--	--	--	--	0,03645	0,14917	0,03752	0,0402
--	--	--	--	--	--	0,0365	0,14952	0,03761	0,04043
--	--	--	--	--	--	0,03653	0,14973	0,03771	0,04066
--	--	--	--	--	--	0,03662	0,1503	0,0378	0,0409
--	--	--	--	--	--	0,0367	0,15087	0,0379	0,04113
--	--	--	--	--	--	0,03678	0,15144	0,03799	0,04137
--	--	--	--	--	--	0,03687	0,15201	0,03808	0,04161
--	--	--	--	--	--	0,03695	0,15258	0,03818	0,04184
--	--	--	--	--	--	0,03704	0,15315	0,03827	0,04208
--	--	--	--	--	--	0,03712	0,15373	0,03837	0,04233
--	--	--	--	--	--	0,0372	0,1543	0,03846	0,04257
--	--	--	--	--	--	0,03729	0,15488	0,0385	0,04266
--	--	--	--	--	--	0,03737	0,15546	0,03856	0,04281
--	--	--	--	--	--	0,03746	0,15604	0,03865	0,04306
--	--	--	--	--	--	0,03754	0,15662	0,03875	0,0433
--	--	--	--	--	--	0,03762	0,1572	0,03884	0,04355
--	--	--	--	--	--	0,03771	0,15779	0,03894	0,0438
--	--	--	--	--	--	0,03779	0,15837	0,03903	0,04405
--	--	--	--	--	--	0,03788	0,15896	0,03912	0,0443
--	--	--	--	--	--	0,03796	0,15955	0,03922	0,04455
--	--	--	--	--	--	0,03805	0,16014	0,03931	0,0448
--	--	--	--	--	--	0,03813	0,16073	0,03941	0,04506
--	--	--	--	--	--	0,03821	0,16133	0,0395	0,04531
--	--	--	--	--	--	0,03824	0,16152	0,0396	0,04557
--	--	--	--	--	--	0,0383	0,16192	0,03969	0,04583
--	--	--	--	--	--	0,03838	0,16252	0,03979	0,04609
--	--	--	--	--	--	0,03847	0,16312	0,03988	0,04635
--	--	--	--	--	--	0,03855	0,16371	0,03998	0,04661
--	--	--	--	--	--	0,03863	0,16432	0,04007	0,04688
--	--	--	--	--	--	0,03872	0,16492	0,04017	0,04714
--	--	--	--	--	--	0,0388	0,16552	0,04026	0,04741
--	--	--	--	--	--	0,03889	0,16613	0,04035	0,04767
--	--	--	--	--	--	0,03897	0,16673	0,04045	0,04794
--	--	--	--	--	--	0,03905	0,16734	0,04054	0,04821
--	--	--	--	--	--	0,03914	0,16795	0,04064	0,04848
--	--	--	--	--	--	0,03922	0,16856	0,04073	0,04876
--	--	--	--	--	--	0,03931	0,16918	0,04083	0,04903
--	--	--	--	--	--	0,03939	0,16979	0,04092	0,04931
--	--	--	--	--	--	0,03947	0,17041	0,04102	0,04958
--	--	--	--	--	--	0,03956	0,17103	0,04111	0,04986
--	--	--	--	--	--	0,03964	0,17165	0,04121	0,05014
--	--	--	--	--	--	0,03973	0,17227	0,0413	0,05042
--	--	--	--	--	--	0,03981	0,17289	0,0414	0,05071
--	--	--	--	--	--	0,03989	0,17351	0,04149	0,05099
--	--	--	--	--	--	0,03998	0,17414	0,04158	0,05127
--	--	--	--	--	--	0,04	0,17429	0,04168	0,05156
--	--	--	--	--	--	0,04006	0,17476	0,04177	0,05185
--	--	--	--	--	--	0,04015	0,17539	0,04187	0,05214
--	--	--	--	--	--	0,04023	0,17602	0,04196	0,05243
--	--	--	--	--	--	0,04032	0,17665	0,042	0,05254
--	--	--	--	--	--	0,0404	0,17729	0,04206	0,05272
--	--	--	--	--	--	0,04048	0,17792	0,04215	0,05302
--	--	--	--	--	--	0,04057	0,17856	0,04225	0,05331
--	--	--	--	--	--	0,04065	0,1792	0,04234	0,05361
--	--	--	--	--	--	0,04074	0,17984	0,04244	0,05391
--	--	--	--	--	--	0,04082	0,18048	0,04253	0,05421
--	--	--	--	--	--	0,0409	0,18112	0,04262	0,05451
--	--	--	--	--	--	0,04099	0,18177	0,04272	0,05481
--	--	--	--	--	--	0,04107	0,18241	0,04281	0,05511
--	--	--	--	--	--	0,04116	0,18306	0,04291	0,05542
--	--	--	--	--	--	0,04124	0,18371	0,043	0,05573
--	--	--	--	--	--	0,04132	0,18436	0,0431	0,05604
--	--	--	--	--	--	0,04141	0,18501	0,04319	0,05635
--	--	--	--	--	--	0,04149	0,18567	0,04329	0,05666
--	--	--	--	--	--	0,04158	0,18632	0,04338	0,05697
--	--	--	--	--	--	0,04166	0,18698	0,04348	0,05729
--	--	--	--	--	--	0,04174	0,1876	0,04357	0,0576
--	--	--	--	--	--	0,04174	0,18764	0,04367	0,05792
--	--	--	--	--	--	0,04183	0,1883	0,04376	0,05824
--	--	--	--	--	--	0,04191	0,18896	0,04385	0,05856
--	--	--	--	--	--	0,042	0,18963	0,04395	0,05888
--	--	--	--	--	--	0,04208	0,19029	0,04404	0,05921
--	--	--	--	--	--	0,04217	0,19096	0,04414	0,05953
--	--	--	--	--	--	0,04225	0,19163	0,04423	0,05986
--	--	--	--	--	--	0,04233	0,1923	0,04433	0,06019
--	--	--	--	--	--	0,04242	0,19297	0,04442	0,06052
--	--	--	--	--	--	0,0425	0,19365	0,04452	0,06085
--	--	--	--	--	--	0,04259	0,19432	0,04461	0,06119
--	--	--	--	--	--	0,04267	0,195	0,04471	0,06152
--	--	--	--	--	--	0,04275	0,19568	0,0448	0,06186
--	--	--	--	--	--	0,04284	0,19636	0,0449	0,0622
--	--	--	--	--	--	0,04292	0,19704	0,04499	0,06254
--	--	--	--	--	--	0,04301	0,19773	0,04508	0,06288
--	--	--	--	--	--	0,04309	0,19841	0,04518	0,06323
--	--	--	--	--	--	0,04317	0,1991	0,04527	0,06357
--	--	--	--	--	--	0,04326	0,19979	0,04537	0,06392
--	--	--	--	--	--	0,04334	0,20048	0,04546	0,06427
--	--	--	--	--	--	0,04343	0,20118	0,0455	0,06441
--	--	--	--	--	--	0,0435	0,20178	0,04556	0,06462
--	--	--	--	--	--	0,04351	0,20187	0,04565	0,06497
--	--	--	--	--	--	0,04359	0,20257	0,04575	0,06533
--	--	--	--	--	--	0,04368	0,20327	0,04584	0,06568
--	--	--	--	--	--	0,04376	0,20397	0,04594	0,06604
--	--	--	--	--	--	0,04385	0,20467	0,04603	0,0664
--	--	--	--	--	--	0,04393	0,20537	0,04612	0,06676
--	--	--	--	--	--	0,04402	0,20608	0,04622	0,06713
--	--	--	--	--	--	0,0441	0,20678	0,04631	0,06749
--	--	--	--	--	--	0,04418	0,20749	0,04641	0,06786
--	--	--	--	--	--	0,04427	0,2082	0,0465	0,06823
--	--	--	--	--	--	0,04435	0,20891	0,0466	0,0686
--	--	--	--	--	--	0,04444	0,20963	0,04669	0,06897
--	--	--	--	--	--	0,04452	0,21034	0,04679	0,06935
--	--	--	--	--	--	0,0446	0,21106	0,04688	0,06972
--	--	--	--	--	--	0,04469	0,21178	0,04698	0,0701
--	--	--	--	--	--	0,04477	0,2125	0,04707	0,07048
--	--	--	--	--	--	0,04486	0,21323	0,04717	0,07086
--	--	--	--	--	--	0,04494	0,21395	0,04726	0,07125
--	--	--	--	--	--	0,04502	0,21468	0,04726	0,07125
--	--	--	--	--	--	0,04511	0,21541	0,04735	0,07163
--	--	--	--	--	--	0,04519	0,21614	0,04745	0,07202
--	--	--	--	--	--	0,04526	0,21673	0,04754	0,07241
--	--	--	--	--	--	0,04528	0,21687	0,04764	0,0728
--	--	--	--	--	--	0,04536	0,2176	0,04773	0,07319
--	--	--	--	--	--	0,04544	0,21834	0,04783	0,07359
--	--	--	--	--	--	0,04553	0,21908	0,04792	0,07399
--	--	--	--	--	--	0,04561	0,21982	0,04802	0,07438
--	--	--	--	--	--	0,0457	0,22056	0,04811	0,07479
--	--	--	--	--	--	0,04578	0,2213	0,04821	0,07519
--	--	--	--	--	--	0,04586	0,22205	0,0483	0,07559
--	--	--	--	--	--	0,04595	0,22279	0,0484	0,076
--	--	--	--	--	--	0,04603	0,22354	0,04849	0,07641
--	--	--	--	--	--	0,04612	0,22429	0,04858	0,07682
--	--	--	--	--	--	0,0462	0,22505	0,04868	0,07723
--	--	--	--	--	--	0,04629	0,2258	0,04877	0,07765
--	--	--	--	--	--	0,04637	0,22656	0,04887	0,07807
--	--	--	--	--	--	0,04645	0,22731	0,04896	0,07849
--	--	--	--	--	--	0,04654	0,22807	0,049	0,07865
--	--	--	--	--	--	0,04662	0,22884	0,04906	0,07891
--	--	--	--	--	--	0,04671	0,2296	0,04915	0,07933
--	--	--	--	--	--	0,04679	0,23037	0,04925	0,07976
--	--	--	--	--	--	0,04687	0,23113	0,04934	0,08018
--	--	--	--	--	--	0,04696	0,2319	0,04944	0,08061
--	--	--	--	--	--	0,047	0,23229	0,04953	0,08105
--	--	--	--	--	--	0,04704	0,23268	0,04962	0,08148
--	--	--	--	--	--	0,04713	0,23345	0,04972	0,08192
--	--	--	--	--	--	0,04721	0,23423	0,04981	0,08236
--	--	--	--	--	--	0,04729	0,235	0,04991	0,0828
--	--	--	--	--	--	0,04738	0,23578	0,05	0,08324
--	--	--	--	--	--	0,04746	0,23656	0,0501	0,08368
--	--	--	--	--	--	0,04755	0,23735	0,05019	0,08413
--	--	--	--	--	--	0,04763	0,23813	0,05029	0,08458
--	--	--	--	--	--	0,04771	0,23892	0,05038	0,08503
--	--	--	--	--	--	0,0478	0,23971	0,05048	0,08549
--	--	--	--	--	--	0,04788	0,2405	0,05057	0,08594
--	--	--	--	--	--	0,04797	0,24129	0,05067	0,0864
--	--	--	--	--	--	0,04805	0,24209	0,05076	0,08686
--	--	--	--	--	--	0,04814	0,24289	0,05085	0,08732
--	--	--	--	--	--	0,04822	0,24369	0,05095	0,08779
--	--	--	--	--	--	0,0483	0,24449	0,05104	0,08826
--	--	--	--	--	--	0,04839	0,24529	0,05114	0,08873
--	--	--	--	--	--	0,04847	0,24609	0,05123	0,0892
--	--	--	--	--	--	0,04856	0,2469	0,05133	0,08967
--	--	--	--	--	--	0,04864	0,24771	0,05142	0,09015
--	--	--	--	--	--	0,04872	0,24852	0,05152	0,09063
--	--	--	--	--	--	0,04874	0,24868	0,05161	0,09111
--	--	--	--	--	--	0,04881	0,24934	0,05171	0,0916
--	--	--	--	--	--	0,04889	0,25015	0,0518	0,09208
--	--	--	--	--	--	0,04898	0,25097	0,0519	0,09257
--	--	--	--	--	--	0,04906	0,25179	0,05199	0,09306
--	--	--	--	--	--	0,04914	0,25261	0,05208	0,09356
--	--	--	--	--	--	0,04923	0,25343	0,05218	0,09405
--	--	--	--	--	--	0,04931	0,25426	0,05227	0,09455
--	--	--	--	--	--	0,0494	0,25509	0,05237	0,09505
--	--	--	--	--	--	0,04948	0,25592	0,05246	0,09555
--	--	--	--	--	--	0,04956	0,25675	0,0525	0,09575
--	--	--	--	--	--	0,04965	0,25758	0,05256	0,09606
--	--	--	--	--	--	0,04973	0,25842	0,05265	0,09657
--	--	--	--	--	--	0,04982	0,25926	0,05275	0,09708
--	--	--	--	--	--	0,0499	0,2601	0,05284	0,09759
--	--	--	--	--	--	0,04998	0,26094	0,05294	0,09811
--	--	--	--	--	--	0,05007	0,26178	0,05303	0,09863
--	--	--	--	--	--	0,05015	0,26263	0,05312	0,09915
--	--	--	--	--	--	0,05024	0,26348	0,05322	0,09967
--	--	--	--	--	--	0,05032	0,26433	0,05331	0,1002
--	--	--	--	--	--	0,05041	0,26518	0,05341	0,10073
--	--	--	--	--	--	0,05049	0,26604	0,0535	0,10126
--	--	--	--	--	--	0,0505	0,26614	0,0536	0,10179
--	--	--	--	--	--	0,05057	0,26689	0,05369	0,10233
--	--	--	--	--	--	0,05066	0,26775	0,05379	0,10287
--	--	--	--	--	--	0,05074	0,26861	0,05388	0,10341
--	--	--	--	--	--	0,05083	0,26948	0,05398	0,10396
--	--	--	--	--	--	0,05091	0,27034	0,05407	0,10451
--	--	--	--	--	--	0,05099	0,27121	0,05417	0,10506
--	--	--	--	--	--	0,05108	0,27208	0,05426	0,10561
--	--	--	--	--	--	0,05116	0,27295	0,05435	0,10617
--	--	--	--	--	--	0,05125	0,27383	0,05445	0,10672
--	--	--	--	--	--	0,05133	0,27471	0,05454	0,10729
--	--	--	--	--	--	0,05141	0,27558	0,05464	0,10785
--	--	--	--	--	--	0,0515	0,27647	0,05473	0,10842
--	--	--	--	--	--	0,05158	0,27735	0,05483	0,10899
--	--	--	--	--	--	0,05167	0,27823	0,05492	0,10956
--	--	--	--	--	--	0,05175	0,27912	0,05502	0,11013
--	--	--	--	--	--	0,05183	0,28001	0,05511	0,11071
--	--	--	--	--	--	0,05192	0,2809	0,05521	0,11129
--	--	--	--	--	--	0,052	0,2818	0,0553	0,11188
--	--	--	--	--	--	0,05209	0,2827	0,0554	0,11246
--	--	--	--	--	--	0,05217	0,28359	0,05549	0,11305
--	--	--	--	--	--	0,05224	0,28433	0,05558	0,11365
--	--	--	--	--	--	0,05226	0,2845	0,05568	0,11424
--	--	--	--	--	--	0,05234	0,2854	0,05577	0,11484
--	--	--	--	--	--	0,05242	0,28631	0,05587	0,11544
--	--	--	--	--	--	0,05251	0,28721	0,05596	0,11605
--	--	--	--	--	--	0,05259	0,28812	0,056	0,11629
--	--	--	--	--	--	0,05268	0,28904	0,05606	0,11665
--	--	--	--	--	--	0,05276	0,28995	0,05615	0,11726
--	--	--	--	--	--	0,05284	0,29087	0,05625	0,11788
--	--	--	--	--	--	0,05293	0,29179	0,05634	0,11849
--	--	--	--	--	--	0,05301	0,29271	0,05644	0,11911
--	--	--	--	--	--	0,0531	0,29363	0,05653	0,11974
--	--	--	--	--	--	0,05318	0,29456	0,05662	0,12036
--	--	--	--	--	--	0,05326	0,29549	0,05672	0,12099
--	--	--	--	--	--	0,05335	0,29642	0,05681	0,12162
--	--	--	--	--	--	0,05343	0,29735	0,05691	0,12226
--	--	--	--	--	--	0,05352	0,29829	0,057	0,1229
--	--	--	--	--	--	0,0536	0,29923	0,0571	0,12354
--	--	--	--	--	--	0,05368	0,30017	0,05719	0,12418
--	--	--	--	--	--	0,05377	0,30111	0,05729	0,12483
--	--	--	--	--	--	0,05385	0,30205	0,05738	0,12548
--	--	--	--	--	--	0,05394	0,303	0,05748	0,12614
--	--	--	--	--	--	0,054	0,30371	0,05757	0,12679
--	--	--	--	--	--	0,05402	0,30395	0,05767	0,12745
--	--	--	--	--	--	0,05411	0,3049	0,05776	0,12812
--	--	--	--	--	--	0,05419	0,30586	0,05785	0,12879
--	--	--	--	--	--	0,05427	0,30681	0,05795	0,12946
--	--	--	--	--	--	0,05436	0,30777	0,05804	0,13013
--	--	--	--	--	--	0,05444	0,30874	0,05814	0,13081
--	--	--	--	--	--	0,05453	0,3097	0,05823	0,13149
--	--	--	--	--	--	0,05461	0,31067	0,05833	0,13217
--	--	--	--	--	--	0,05469	0,31163	0,05842	0,13286
--	--	--	--	--	--	0,05478	0,31261	0,05852	0,13355
--	--	--	--	--	--	0,05486	0,31358	0,05861	0,13425
--	--	--	--	--	--	0,05495	0,31456	0,05871	0,13494
--	--	--	--	--	--	0,05503	0,31554	0,0588	0,13564
--	--	--	--	--	--	0,05511	0,31652	0,0589	0,13635
--	--	--	--	--	--	0,0552	0,3175	0,05899	0,13706
--	--	--	--	--	--	0,05528	0,31849	0,05908	0,13777
--	--	--	--	--	--	0,05537	0,31947	0,05918	0,13848
--	--	--	--	--	--	0,05545	0,32047	0,05927	0,1392
--	--	--	--	--	--	0,05553	0,32146	0,05937	0,13992
--	--	--	--	--	--	0,05562	0,32246	0,05946	0,14065
--	--	--	--	--	--	0,0557	0,32345	0,0595	0,14094
--	--	--	--	--	--	0,05576	0,32414	0,05956	0,14138
--	--	--	--	--	--	0,05579	0,32445	0,05965	0,14211
--	--	--	--	--	--	0,05587	0,32546	0,05975	0,14285
--	--	--	--	--	--	0,05595	0,32646	0,05984	0,14359
--	--	--	--	--	--	0,05604	0,32747	0,05994	0,14433
--	--	--	--	--	--	0,05612	0,32848	0,06003	0,14508
--	--	--	--	--	--	0,05621	0,3295	0,06012	0,14583
--	--	--	--	--	--	0,05629	0,33051	0,06022	0,14659
--	--	--	--	--	--	0,05638	0,33153	0,06031	0,14735
--	--	--	--	--	--	0,05646	0,33255	0,06041	0,14811
--	--	--	--	--	--	0,05654	0,33358	0,0605	0,14888
--	--	--	--	--	--	0,05663	0,3346	0,0606	0,14965
--	--	--	--	--	--	0,05671	0,33563	0,06069	0,15042
--	--	--	--	--	--	0,0568	0,33666	0,06079	0,1512
--	--	--	--	--	--	0,05688	0,3377	0,06088	0,15198
--	--	--	--	--	--	0,05696	0,33873	0,06098	0,15276
--	--	--	--	--	--	0,05705	0,33977	0,06107	0,15355
--	--	--	--	--	--	0,05713	0,34082	0,06117	0,15435
--	--	--	--	--	--	0,05722	0,34186	0,06126	0,15514
--	--	--	--	--	--	0,0573	0,34291	0,06135	0,15595
--	--	--	--	--	--	0,05738	0,34396	0,06145	0,15675
--	--	--	--	--	--	0,05747	0,34501	0,06154	0,15756
--	--	--	--	--	--	0,0575	0,3454	0,06164	0,15837
--	--	--	--	--	--	0,05755	0,34606	0,06173	0,15919
--	--	--	--	--	--	0,05764	0,34712	0,06183	0,16001
--	--	--	--	--	--	0,05772	0,34818	0,06192	0,16084
--	--	--	--	--	--	0,0578	0,34925	0,06202	0,16167
--	--	--	--	--	--	0,05789	0,35031	0,06211	0,1625
--	--	--	--	--	--	0,05797	0,35138	0,06221	0,16334
--	--	--	--	--	--	0,05806	0,35245	0,0623	0,16418
--	--	--	--	--	--	0,05814	0,35352	0,0624	0,16502
--	--	--	--	--	--	0,05823	0,3546	0,06249	0,16588
--	--	--	--	--	--	0,05831	0,35568	0,06258	0,16673
--	--	--	--	--	--	0,05839	0,35676	0,06268	0,16759
--	--	--	--	--	--	0,05848	0,35784	0,06277	0,16845
--	--	--	--	--	--	0,05856	0,35893	0,06287	0,16932
--	--	--	--	--	--	0,05865	0,36002	0,06296	0,17019
--	--	--	--	--	--	0,05873	0,36111	0,063	0,17053
--	--	--	--	--	--	0,05881	0,36221	0,06306	0,17107
--	--	--	--	--	--	0,0589	0,36331	0,06315	0,17195
--	--	--	--	--	--	0,05898	0,36441	0,06325	0,17283
--	--	--	--	--	--	0,05907	0,36551	0,06334	0,17372
--	--	--	--	--	--	0,05915	0,36662	0,06344	0,17461
--	--	--	--	--	--	0,05923	0,36773	0,06353	0,17551
--	--	--	--	--	--	0,05924	0,3678	0,06362	0,17641
--	--	--	--	--	--	0,05932	0,36884	0,06372	0,17732
--	--	--	--	--	--	0,0594	0,36995	0,06381	0,17823
--	--	--	--	--	--	0,05949	0,37107	0,06391	0,17914
--	--	--	--	--	--	0,05957	0,37219	0,064	0,18006
--	--	--	--	--	--	0,05965	0,37332	0,0641	0,18099
--	--	--	--	--	--	0,05974	0,37444	0,06419	0,18192
--	--	--	--	--	--	0,05982	0,37557	0,06429	0,18285
--	--	--	--	--	--	0,05991	0,3767	0,06438	0,18379
--	--	--	--	--	--	0,05999	0,37784	0,06448	0,18473
--	--	--	--	--	--	0,06008	0,37897	0,06457	0,18568
--	--	--	--	--	--	0,06016	0,38011	0,06467	0,18663
--	--	--	--	--	--	0,06024	0,38126	0,06476	0,18759
--	--	--	--	--	--	0,06033	0,3824	0,06485	0,18855
--	--	--	--	--	--	0,06041	0,38355	0,06495	0,18952
--	--	--	--	--	--	0,0605	0,3847	0,06504	0,19049
--	--	--	--	--	--	0,06058	0,38586	0,06514	0,19147
--	--	--	--	--	--	0,06066	0,38701	0,06523	0,19245
--	--	--	--	--	--	0,06075	0,38817	0,06533	0,19343
--	--	--	--	--	--	0,06083	0,38934	0,06542	0,19443
--	--	--	--	--	--	0,06092	0,3905	0,06552	0,19542
--	--	--	--	--	--	0,061	0,39167	0,06561	0,19642
--	--	--	--	--	--	0,061	0,39167	0,06571	0,19743
--	--	--	--	--	--	0,06108	0,39284	0,0658	0,19844
--	--	--	--	--	--	0,06117	0,39402	0,0659	0,19945
--	--	--	--	--	--	0,06125	0,3952	0,06599	0,20047
--	--	--	--	--	--	0,06134	0,39638	0,06608	0,2015
--	--	--	--	--	--	0,06142	0,39756	0,06618	0,20253
--	--	--	--	--	--	0,0615	0,39875	0,06627	0,20357
--	--	--	--	--	--	0,06159	0,39994	0,06637	0,20461
--	--	--	--	--	--	0,06167	0,40113	0,06646	0,20565
--	--	--	--	--	--	0,06176	0,40232	0,0665	0,20607
--	--	--	--	--	--	0,06184	0,40352	0,06656	0,20671
--	--	--	--	--	--	0,06192	0,40472	0,06665	0,20776
--	--	--	--	--	--	0,06201	0,40593	0,06675	0,20882
--	--	--	--	--	--	0,06209	0,40714	0,06684	0,20989
--	--	--	--	--	--	0,06218	0,40835	0,06694	0,21096
--	--	--	--	--	--	0,06226	0,40956	0,06703	0,21204
--	--	--	--	--	--	0,06235	0,41078	0,06712	0,21312
--	--	--	--	--	--	0,06243	0,412	0,06722	0,21421
--	--	--	--	--	--	0,06251	0,41322	0,06731	0,21531
--	--	--	--	--	--	0,0626	0,41445	0,06741	0,21641
--	--	--	--	--	--	0,06268	0,41567	0,0675	0,21751
--	--	--	--	--	--	0,06276	0,41682	0,0676	0,21862
--	--	--	--	--	--	0,06277	0,41691	0,06769	0,21974
--	--	--	--	--	--	0,06285	0,41814	0,06779	0,22086
--	--	--	--	--	--	0,06293	0,41938	0,06788	0,22198
--	--	--	--	--	--	0,06302	0,42062	0,06798	0,22312
--	--	--	--	--	--	0,0631	0,42187	0,06807	0,22425
--	--	--	--	--	--	0,06319	0,42311	0,06817	0,2254
--	--	--	--	--	--	0,06327	0,42436	0,06826	0,22655
--	--	--	--	--	--	0,06335	0,42562	0,06835	0,2277
--	--	--	--	--	--	0,06344	0,42687	0,06845	0,22886
--	--	--	--	--	--	0,06352	0,42813	0,06854	0,23003
--	--	--	--	--	--	0,06361	0,4294	0,06864	0,2312
--	--	--	--	--	--	0,06369	0,43066	0,06873	0,23238
--	--	--	--	--	--	0,06377	0,43193	0,06883	0,23356
--	--	--	--	--	--	0,06386	0,43321	0,06892	0,23475
--	--	--	--	--	--	0,06394	0,43448	0,06902	0,23595
--	--	--	--	--	--	0,06403	0,43576	0,06911	0,23715
--	--	--	--	--	--	0,06411	0,43704	0,06921	0,23836
--	--	--	--	--	--	0,0642	0,43833	0,0693	0,23957
--	--	--	--	--	--	0,06428	0,43962	0,0694	0,24079
--	--	--	--	--	--	0,06436	0,44091	0,06949	0,24202
--	--	--	--	--	--	0,06445	0,4422	0,06958	0,24325
--	--	--	--	--	--	0,0645	0,44302	0,06968	0,24449
--	--	--	--	--	--	0,06453	0,4435	0,06977	0,24573
--	--	--	--	--	--	0,06462	0,4448	0,06987	0,24698
--	--	--	--	--	--	0,0647	0,44611	0,06996	0,24824
--	--	--	--	--	--	0,06478	0,44742	0,07	0,24873
--	--	--	--	--	--	0,06487	0,44873	0,07006	0,2495
--	--	--	--	--	--	0,06495	0,45004	0,07015	0,25077
--	--	--	--	--	--	0,06504	0,45136	0,07025	0,25204
--	--	--	--	--	--	0,06512	0,45268	0,07034	0,25332
--	--	--	--	--	--	0,0652	0,45401	0,07044	0,25461
--	--	--	--	--	--	0,06529	0,45534	0,07053	0,2559
--	--	--	--	--	--	0,06537	0,45667	0,07062	0,2572
--	--	--	--	--	--	0,06546	0,458	0,07072	0,25851
--	--	--	--	--	--	0,06554	0,45934	0,07081	0,25982
--	--	--	--	--	--	0,06562	0,46068	0,07091	0,26114
--	--	--	--	--	--	0,06571	0,46203	0,071	0,26247
--	--	--	--	--	--	0,06579	0,46337	0,0711	0,2638
--	--	--	--	--	--	0,06588	0,46473	0,07119	0,26514
--	--	--	--	--	--	0,06596	0,46608	0,07129	0,26649
--	--	--	--	--	--	0,06605	0,46744	0,07138	0,26784
--	--	--	--	--	--	0,06613	0,4688	0,07148	0,2692
--	--	--	--	--	--	0,06621	0,47017	0,07157	0,27057
--	--	--	--	--	--	0,06624	0,4706	0,07167	0,27194
--	--	--	--	--	--	0,0663	0,47153	0,07176	0,27332
--	--	--	--	--	--	0,06638	0,47291	0,07185	0,27471
--	--	--	--	--	--	0,06647	0,47428	0,07195	0,2761
--	--	--	--	--	--	0,06655	0,47566	0,07204	0,2775
--	--	--	--	--	--	0,06663	0,47704	0,07214	0,27891
--	--	--	--	--	--	0,06672	0,47843	0,07223	0,28032
--	--	--	--	--	--	0,0668	0,47982	0,07233	0,28174
--	--	--	--	--	--	0,06689	0,48121	0,07242	0,28317
--	--	--	--	--	--	0,06697	0,48261	0,07252	0,28461
--	--	--	--	--	--	0,06705	0,484	0,07261	0,28605
--	--	--	--	--	--	0,06714	0,48541	0,07271	0,2875
--	--	--	--	--	--	0,06722	0,48681	0,0728	0,28896
--	--	--	--	--	--	0,06731	0,48822	0,0729	0,29042
--	--	--	--	--	--	0,06739	0,48964	0,07299	0,29189
--	--	--	--	--	--	0,06747	0,49106	0,07308	0,29337
--	--	--	--	--	--	0,06756	0,49248	0,07318	0,29486
--	--	--	--	--	--	0,06764	0,4939	0,07327	0,29635
--	--	--	--	--	--	0,06773	0,49533	0,07337	0,29785
--	--	--	--	--	--	0,06781	0,49676	0,07346	0,29936
--	--	--	--	--	--	0,06789	0,4982	0,0735	0,29995
--	--	--	--	--	--	0,06798	0,49963	0,07356	0,30087
--	--	--	--	--	--	0,068	0,49999	0,07365	0,3024
--	--	--	--	--	--	0,06806	0,50108	0,07375	0,30393
--	--	--	--	--	--	0,06815	0,50252	0,07384	0,30547
--	--	--	--	--	--	0,06823	0,50397	0,07394	0,30701
--	--	--	--	--	--	0,06832	0,50542	0,07403	0,30856
--	--	--	--	--	--	0,0684	0,50688	0,07412	0,31013
--	--	--	--	--	--	0,06848	0,50834	0,07422	0,31169
--	--	--	--	--	--	0,06857	0,50981	0,07431	0,31327
--	--	--	--	--	--	0,06865	0,51127	0,07441	0,31486
--	--	--	--	--	--	0,06874	0,51274	0,0745	0,31645
--	--	--	--	--	--	0,06882	0,51422	0,0746	0,31805
--	--	--	--	--	--	0,0689	0,5157	0,07469	0,31966
--	--	--	--	--	--	0,06899	0,51718	0,07479	0,32127
--	--	--	--	--	--	0,06907	0,51867	0,07488	0,3229
--	--	--	--	--	--	0,06916	0,52016	0,07498	0,32453
--	--	--	--	--	--	0,06924	0,52165	0,07507	0,32617
--	--	--	--	--	--	0,06932	0,52315	0,07517	0,32782
--	--	--	--	--	--	0,06941	0,52465	0,07526	0,32947
--	--	--	--	--	--	0,06949	0,52615	0,07526	0,32947
--	--	--	--	--	--	0,06958	0,52766	0,07535	0,33114
--	--	--	--	--	--	0,06966	0,52918	0,07545	0,33281
--	--	--	--	--	--	0,06974	0,53069	0,07554	0,33449
--	--	--	--	--	--	0,06976	0,53097	0,07564	0,33618
--	--	--	--	--	--	0,06983	0,53221	0,07573	0,33788
--	--	--	--	--	--	0,06991	0,53374	0,07583	0,33959
--	--	--	--	--	--	0,07	0,53526	0,07592	0,3413
--	--	--	--	--	--	0,07008	0,53679	0,07602	0,34303
--	--	--	--	--	--	0,07017	0,53833	0,07611	0,34476
--	--	--	--	--	--	0,07025	0,53987	0,07621	0,3465
--	--	--	--	--	--	0,07033	0,54141	0,0763	0,34825
