AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
0,11	0,51156	0,1085	0,12023	0,1085	0,70137	0,00996	0,02629	0,00734	0,00308
0,11176	0,46083	0,11026	0,10574	0,11026	0,67953	0,01005	0,02654	0,00744	0,00313
0,1135	0,43266	0,112	0,09388	0,112	0,64748	0,01013	0,0268	0,00753	0,00318
0,11526	0,4486	0,11376	0,08377	0,11376	0,63062	0,01021	0,02706	0,00762	0,00323
0,117	0,41178	0,1155	0,07528	0,1155	0,62991	0,01024	0,02714	0,00772	0,00327
0,11876	0,39237	0,11726	0,0679	0,11726	0,62871	0,0103	0,02732	0,00781	0,00332
0,1205	0,39068	0,119	0,0616	0,119	0,61947	0,01038	0,02758	0,00791	0,00337
--	--	0,12076	0,05603	0,12076	0,64679	0,01047	0,02784	0,008	0,00342
--	--	--	--	--	--	0,01055	0,0281	0,0081	0,00347
--	--	--	--	--	--	0,01063	0,02836	0,00819	0,00352
--	--	--	--	--	--	0,01072	0,02862	0,00829	0,00357
--	--	--	--	--	--	0,0108	0,02888	0,00838	0,00362
--	--	--	--	--	--	0,01089	0,02915	0,00848	0,00367
--	--	--	--	--	--	0,01097	0,02941	0,00857	0,00372
--	--	--	--	--	--	0,01105	0,02967	0,00867	0,00377
--	--	--	--	--	--	0,01114	0,02994	0,00876	0,00383
--	--	--	--	--	--	0,01122	0,03021	0,00885	0,00388
--	--	--	--	--	--	0,01131	0,03047	0,00895	0,00393
--	--	--	--	--	--	0,01139	0,03074	0,00904	0,00398
--	--	--	--	--	--	0,01147	0,03101	0,00914	0,00403
--	--	--	--	--	--	0,01156	0,03128	0,00923	0,00409
--	--	--	--	--	--	0,01164	0,03154	0,00933	0,00414
--	--	--	--	--	--	0,01173	0,03181	0,00942	0,00419
--	--	--	--	--	--	0,01181	0,03209	0,00952	0,00425
--	--	--	--	--	--	0,01189	0,03236	0,00961	0,0043
--	--	--	--	--	--	0,01198	0,03263	0,00971	0,00435
--	--	--	--	--	--	0,012	0,0327	0,0098	0,00441
--	--	--	--	--	--	0,01206	0,0329	0,0099	0,00446
--	--	--	--	--	--	0,01215	0,03317	0,00999	0,00452
--	--	--	--	--	--	0,01223	0,03345	0,01008	0,00457
--	--	--	--	--	--	0,01232	0,03372	0,01018	0,00463
--	--	--	--	--	--	0,0124	0,034	0,01027	0,00468
--	--	--	--	--	--	0,01248	0,03427	0,01037	0,00474
--	--	--	--	--	--	0,01257	0,03455	0,01046	0,00479
--	--	--	--	--	--	0,01265	0,03483	0,0105	0,00482
--	--	--	--	--	--	0,01274	0,03511	0,01056	0,00485
--	--	--	--	--	--	0,01282	0,03539	0,01065	0,00491
--	--	--	--	--	--	0,0129	0,03566	0,01075	0,00496
--	--	--	--	--	--	0,01299	0,03594	0,01084	0,00502
--	--	--	--	--	--	0,01307	0,03623	0,01094	0,00508
--	--	--	--	--	--	0,01316	0,03651	0,01103	0,00514
--	--	--	--	--	--	0,01324	0,03679	0,01112	0,00519
--	--	--	--	--	--	0,01332	0,03707	0,01122	0,00525
--	--	--	--	--	--	0,01341	0,03736	0,01131	0,00531
--	--	--	--	--	--	0,01349	0,03764	0,01141	0,00537
--	--	--	--	--	--	0,01358	0,03793	0,0115	0,00543
