Mean molecule area A2/molecule	Surface pressure, mN/m	Mean molecule area A2/molecule	Cs-1, mN/m
258,91	0,534	258,91	--
258,85	0,528	258,85	--
258,81	0,535	258,81	--
258,76	0,537	258,76	--
258,72	0,537	258,72	--
258,66	0,546	258,66	--
258,62	0,55	258,62	--
258,56	0,552	258,56	--
258,52	0,553	258,52	--
258,47	0,553	258,47	--
258,42	0,553	258,42	--
258,37	0,554	258,37	--
258,33	0,555	258,33	--
258,29	0,551	258,29	--
258,23	0,547	258,23	--
258,19	0,546	258,19	--
258,13	0,551	258,13	0,7991
258,1	0,553	258,1	0,7597
258,05	0,535	258,05	0,71923
258,01	0,533	258,01	0,67298
257,97	0,539	257,97	0,62207
257,91	0,542	257,91	0,56753
257,87	0,543	257,87	0,51201
257,81	0,546	257,81	0,4583
257,77	0,55	257,77	0,41079
257,72	0,551	257,72	0,37241
257,68	0,545	257,68	0,34435
257,62	0,543	257,62	0,32433
257,58	0,545	257,58	0,31014
257,52	0,545	257,52	0,30101
257,48	0,544	257,48	0,29615
257,43	0,553	257,43	0,29369
257,38	0,547	257,38	0,29188
257,33	0,548	257,33	0,29087
257,29	0,55	257,29	0,29139
257,23	0,548	257,23	0,29358
257,19	0,549	257,19	0,2971
257,13	0,547	257,13	0,30196
257,09	0,546	257,09	0,30826
257,04	0,543	257,04	0,31606
257	0,539	257	0,32472
256,94	0,552	256,94	0,33308
256,9	0,551	256,9	0,33994
256,84	0,542	256,84	0,3451
256,8	0,55	256,8	0,35033
256,74	0,55	256,74	0,35754
256,7	0,55	256,7	0,36732
256,66	0,547	256,66	0,3795
256,61	0,547	256,61	0,39389
256,56	0,549	256,56	0,41027
256,51	0,55	256,51	0,42745
256,47	0,547	256,47	0,4443
256,41	0,547	256,41	0,46036
256,37	0,549	256,37	0,47605
256,32	0,545	256,32	0,49152
256,27	0,545	256,27	0,50691
256,22	0,543	256,22	0,52222
256,18	0,539	256,18	0,53729
256,12	0,535	256,12	0,55214
256,08	0,541	256,08	0,56704
256,02	0,545	256,02	0,58217
255,98	0,544	255,98	0,59728
255,93	0,543	255,93	0,61253
255,88	0,546	255,88	0,62806
255,83	0,538	255,83	0,64372
255,79	0,537	255,79	0,65922
255,73	0,534	255,73	0,67427
255,69	0,534	255,69	0,68871
255,64	0,534	255,64	0,70254
255,59	0,54	255,59	0,71593
255,54	0,544	255,54	0,72897
255,5	0,545	255,5	0,74157
255,45	0,542	255,45	0,75341
255,4	0,541	255,4	0,76443
255,36	0,549	255,36	0,77438
255,3	0,543	255,3	0,78303
255,26	0,542	255,26	0,79035
255,2	0,544	255,2	0,79648
255,16	0,545	255,16	0,80137
255,11	0,544	255,11	0,805
255,07	0,543	255,07	0,80769
255,01	0,543	255,01	0,80953
254,97	0,55	254,97	0,81078
254,91	0,55	254,91	0,8119
254,87	0,554	254,87	0,81298
254,82	0,555	254,82	0,81362
254,77	0,553	254,77	0,81375
254,72	0,548	254,72	0,81342
254,68	0,544	254,68	0,81257
254,62	0,547	254,62	0,81111
254,58	0,547	254,58	0,80923
254,53	0,557	254,53	0,80699
254,48	0,541	254,48	0,80437
254,43	0,535	254,43	0,8012
254,39	0,547	254,39	0,79734
254,33	0,55	254,33	0,79252
254,29	0,551	254,29	0,78653
254,23	0,551	254,23	0,77965
254,19	0,553	254,19	0,77224
254,14	0,563	254,14	0,76445
254,1	0,564	254,1	0,75636
254,04	0,561	254,04	0,74807
254	0,56	254	0,73936
253,94	0,564	253,94	0,73012
253,9	0,566	253,9	0,72049
253,85	0,563	253,85	0,71052
253,8	0,561	253,8	0,70012
253,75	0,555	253,75	0,68926
253,71	0,553	253,71	0,67779
253,65	0,552	253,65	0,66536
253,61	0,552	253,61	0,65189
253,55	0,553	253,55	0,63754
253,51	0,553	253,51	0,62245
253,46	0,553	253,46	0,60682
253,42	0,549	253,42	0,59077
253,36	0,547	253,36	0,57439
253,32	0,548	253,32	0,55781
253,26	0,549	253,26	0,54823
253,22	0,549	253,22	0,53875
253,17	0,546	253,17	0,52939
253,12	0,548	253,12	0,52021
253,07	0,552	253,07	0,51127
253,03	0,548	253,03	0,50258
252,97	0,547	252,97	0,49416
252,93	0,553	252,93	0,48599
252,87	0,553	252,87	0,47809
252,83	0,551	252,83	0,47049
252,78	0,552	252,78	0,46318
252,73	0,551	252,73	0,45613
252,68	0,548	252,68	0,44928
252,64	0,552	252,64	0,44258
252,58	0,555	252,58	0,43595
252,54	0,555	252,54	0,42931
252,48	0,551	252,48	0,42259
252,44	0,548	252,44	0,41574
252,39	0,548	252,39	0,40871
252,35	0,552	252,35	0,40144
252,29	0,552	252,29	0,39393
252,25	0,558	252,25	0,38624
252,21	0,558	252,21	0,37842
252,15	0,558	252,15	0,37051
252,11	0,557	252,11	0,36252
252,05	0,558	252,05	0,3544
252,01	0,558	252,01	0,34614
251,96	0,558	251,96	0,33773
251,92	0,556	251,92	0,3292
251,86	0,554	251,86	0,32059
251,82	0,562	251,82	0,31194
251,76	0,562	251,76	0,30331
251,72	0,558	251,72	0,2947
251,67	0,558	251,67	0,28614
251,62	0,567	251,62	0,27761
251,57	0,567	251,57	0,26915
251,53	0,569	251,53	0,26079
251,47	0,57	251,47	0,25254
251,43	0,565	251,43	0,24441
251,37	0,56	251,37	0,23642
251,33	0,563	251,33	0,22858
251,28	0,562	251,28	0,22085
251,24	0,56	251,24	0,21318
251,18	0,559	251,18	0,20554
251,14	0,557	251,14	0,19786
251,08	0,559	251,08	0,19008
251,04	0,561	251,04	0,18219
250,99	0,554	250,99	0,17418
250,95	0,554	250,95	0,16607
250,89	0,563	250,89	0,15794
250,85	0,564	250,85	0,14985
250,79	0,564	250,79	0,14191
250,75	0,559	250,75	0,1342
250,7	0,556	250,7	0,12674
250,65	0,558	250,65	0,11947
250,6	0,559	250,6	0,1123
250,56	0,558	250,56	0,10511
250,5	0,557	250,5	0,09784
250,46	0,56	250,46	0,09045
250,4	0,563	250,4	0,08293
250,36	0,562	250,36	0,07526
250,31	0,557	250,31	0,06747
250,27	0,564	250,27	0,05956
250,22	0,566	250,22	0,05157
250,17	0,566	250,17	0,04352
250,13	0,566	250,13	0,03547
250,07	0,565	250,07	0,02749
250,03	0,565	250,03	0,01961
249,97	0,565	249,97	0,01186
249,93	0,565	249,93	0,00428
249,88	0,566	249,88	-0,00309
249,83	0,571	249,83	-0,01021
249,78	0,576	249,78	-0,01707
249,72	0,573	249,72	-0,02371
249,67	0,57	249,67	-0,03015
249,64	0,568	249,64	-0,0364
249,59	0,562	249,59	-0,04245
249,54	0,555	249,54	-0,04831
249,49	0,557	249,49	-0,05396
249,45	0,565	249,45	-0,05937
249,39	0,561	249,39	-0,06456
249,35	0,557	249,35	-0,06953
249,29	0,556	249,29	-0,07433
249,25	0,552	249,25	-0,07901
249,21	0,556	249,21	-0,08359
249,17	0,561	249,17	-0,0881
249,13	0,561	249,13	-0,09253
249,1	0,559	249,1	-0,09684
249,07	0,558	249,07	-0,10099
249,02	0,555	249,02	-0,10498
248,97	0,554	248,97	-0,10886
248,92	0,553	248,92	-0,11268
248,86	0,56	248,86	-0,11646
248,81	0,563	248,81	-0,1202
248,77	0,555	248,77	-0,12387
248,71	0,548	248,71	-0,12736
248,65	0,556	248,65	-0,13058
248,61	0,566	248,61	-0,13347
248,56	0,567	248,56	-0,13601
248,52	0,56	248,52	-0,13818
248,46	0,558	248,46	-0,14001
248,42	0,558	248,42	-0,14157
248,36	0,558	248,36	-0,14294
248,32	0,56	248,32	-0,1442
248,26	0,564	248,26	-0,14541
248,22	0,567	248,22	-0,14656
248,17	0,566	248,17	-0,14761
248,13	0,561	248,13	-0,1485
248,07	0,56	248,07	-0,14918
248,02	0,565	248,02	-0,14968
247,97	0,562	247,97	-0,15001
247,92	0,562	247,92	-0,15016
247,88	0,562	247,88	-0,1502
247,82	0,565	247,82	-0,15015
247,79	0,563	247,79	-0,14999
247,75	0,563	247,75	-0,14968
247,7	0,564	247,7	-0,14922
247,64	0,562	247,64	-0,14857
247,63	0,563	247,63	-0,14763
247,57	0,563	247,57	-0,14639
247,53	0,557	247,53	-0,1449
247,48	0,556	247,48	-0,14316
247,42	0,56	247,42	-0,14121
