AlphA. deg.	Ni Ka XRF, A.u. curve 4	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,01171	0,03745	0,00628	0,00253
--	--	--	--	--	0,01185	0,03793	0,00643	0,00259
--	--	--	--	--	0,012	0,03841	0,00658	0,00266
--	--	--	--	--	0,01214	0,0389	0,00673	0,00273
--	--	--	--	--	0,01228	0,03938	0,00688	0,00279
--	--	--	--	--	0,01242	0,03987	0,00703	0,00286
--	--	--	--	--	0,01256	0,04035	0,00718	0,00293
--	--	--	--	--	0,0127	0,04084	0,00733	0,003
--	--	--	--	--	0,01285	0,04132	0,00748	0,00307
--	--	--	--	--	0,01299	0,04181	0,00763	0,00313
--	--	--	--	--	0,01313	0,0423	0,00778	0,0032
--	--	--	--	--	0,01327	0,04279	0,00793	0,00327
--	--	--	--	--	0,01341	0,04328	0,00808	0,00334
--	--	--	--	--	0,01356	0,04377	0,00823	0,00341
--	--	--	--	--	0,0137	0,04426	0,0083	0,00345
--	--	--	--	--	0,01384	0,04475	0,00838	0,00348
--	--	--	--	--	0,01398	0,04525	0,00853	0,00355
--	--	--	--	--	0,01412	0,04574	0,00868	0,00363
--	--	--	--	--	0,01427	0,04623	0,00883	0,0037
--	--	--	--	--	0,01441	0,04673	0,00898	0,00377
--	--	--	--	--	0,01455	0,04722	0,00913	0,00384
--	--	--	--	--	0,01469	0,04772	0,00928	0,00391
--	--	--	--	--	0,01471	0,04779	0,00943	0,00399
--	--	--	--	--	0,01483	0,04822	0,00958	0,00406
--	--	--	--	--	0,01497	0,04872	0,00973	0,00413
--	--	--	--	--	0,01512	0,04921	0,00988	0,00421
--	--	--	--	--	0,01526	0,04971	0,01003	0,00428
--	--	--	--	--	0,0154	0,05021	0,01018	0,00435
--	--	--	--	--	0,01554	0,05071	0,01033	0,00443
--	--	--	--	--	0,01568	0,05122	0,01048	0,0045
--	--	--	--	--	0,01583	0,05172	0,01063	0,00458
--	--	--	--	--	0,01597	0,05222	0,01078	0,00465
--	--	--	--	--	0,01611	0,05272	0,01086	0,0047
--	--	--	--	--	0,01625	0,05323	0,01093	0,00473
--	--	--	--	--	0,01639	0,05373	0,01108	0,00481
--	--	--	--	--	0,01654	0,05424	0,01123	0,00488
--	--	--	--	--	0,01668	0,05475	0,01138	0,00496
--	--	--	--	--	0,01682	0,05525	0,01153	0,00504
--	--	--	--	--	0,01696	0,05576	0,01167	0,00512
--	--	--	--	--	0,0171	0,05627	0,01182	0,00519
--	--	--	--	--	0,01724	0,05678	0,01197	0,00527
--	--	--	--	--	0,01739	0,05729	0,01212	0,00535
--	--	--	--	--	0,01753	0,0578	0,01227	0,00543
--	--	--	--	--	0,01767	0,05831	0,01242	0,00551
--	--	--	--	--	0,01781	0,05883	0,01257	0,00559
--	--	--	--	--	0,01795	0,05934	0,01272	0,00567
--	--	--	--	--	0,0181	0,05986	0,01287	0,00575
--	--	--	--	--	0,01818	0,06016	0,01302	0,00583
--	--	--	--	--	0,01824	0,06037	0,01317	0,00591
--	--	--	--	--	0,01838	0,06089	0,01332	0,006
--	--	--	--	--	0,01852	0,0614	0,01347	0,00608
--	--	--	--	--	0,01866	0,06192	0,01362	0,00616
--	--	--	--	--	0,01881	0,06244	0,01377	0,00624
--	--	--	--	--	0,01895	0,06296	0,01392	0,00633
--	--	--	--	--	0,01909	0,06348	0,01403	0,00639
--	--	--	--	--	0,01923	0,064	0,01407	0,00641
--	--	--	--	--	0,01937	0,06452	0,01422	0,0065
--	--	--	--	--	0,01951	0,06504	0,01437	0,00658
--	--	--	--	--	0,01966	0,06556	0,01452	0,00666
--	--	--	--	--	0,0198	0,06608	0,01467	0,00675
--	--	--	--	--	0,01994	0,06661	0,01482	0,00684
--	--	--	--	--	0,02008	0,06713	0,01497	0,00692
--	--	--	--	--	0,02022	0,06766	0,01512	0,00701
--	--	--	--	--	0,02037	0,06819	0,01527	0,00709
--	--	--	--	--	0,02051	0,06871	0,01542	0,00718
--	--	--	--	--	0,02065	0,06924	0,01557	0,00727
--	--	--	--	--	0,02079	0,06977	0,01572	0,00736
--	--	--	--	--	0,02093	0,0703	0,01587	0,00745
--	--	--	--	--	0,02105	0,07072	0,01602	0,00753
--	--	--	--	--	0,02108	0,07083	0,01617	0,00762
--	--	--	--	--	0,02122	0,07136	0,01632	0,00771
--	--	--	--	--	0,02136	0,07189	0,01647	0,0078
--	--	--	--	--	0,0215	0,07242	0,01662	0,00789
--	--	--	--	--	0,02164	0,07296	0,01677	0,00798
--	--	--	--	--	0,02178	0,07349	0,01692	0,00808
--	--	--	--	--	0,02193	0,07403	0,01705	0,00815
--	--	--	--	--	0,02207	0,07456	0,01707	0,00817
--	--	--	--	--	0,02221	0,0751	0,01722	0,00826
--	--	--	--	--	0,02235	0,07564	0,01737	0,00835
--	--	--	--	--	0,02249	0,07617	0,01752	0,00844
--	--	--	--	--	0,02264	0,07671	0,01767	0,00854
--	--	--	--	--	0,02278	0,07725	0,01782	0,00863
--	--	--	--	--	0,02292	0,07779	0,01797	0,00873
--	--	--	--	--	0,02306	0,07834	0,01812	0,00882
--	--	--	--	--	0,0232	0,07888	0,01827	0,00892
--	--	--	--	--	0,02335	0,07942	0,01842	0,00901
--	--	--	--	--	0,02346	0,07985	0,01857	0,00911
--	--	--	--	--	0,02349	0,07996	0,01872	0,0092
--	--	--	--	--	0,02363	0,08051	0,01887	0,0093
--	--	--	--	--	0,02377	0,08105	0,01902	0,0094
--	--	--	--	--	0,02391	0,0816	0,01917	0,0095
--	--	--	--	--	0,02405	0,08215	0,01932	0,00959
--	--	--	--	--	0,0242	0,08269	0,01947	0,00969
--	--	--	--	--	0,02434	0,08324	0,01961	0,00978
--	--	--	--	--	0,02448	0,08379	0,01962	0,00979
--	--	--	--	--	0,02462	0,08434	0,01977	0,00989
--	--	--	--	--	0,02476	0,08489	0,01992	0,00999
--	--	--	--	--	0,02491	0,08544	0,02007	0,01009
--	--	--	--	--	0,02505	0,086	0,02022	0,01019
--	--	--	--	--	0,02519	0,08655	0,02037	0,01029
--	--	--	--	--	0,02533	0,0871	0,02052	0,01039
--	--	--	--	--	0,02547	0,08766	0,02067	0,0105
--	--	--	--	--	0,02562	0,08822	0,02082	0,0106
--	--	--	--	--	0,02576	0,08877	0,02097	0,0107
--	--	--	--	--	0,0259	0,08933	0,02112	0,01081
--	--	--	--	--	0,02604	0,08989	0,02127	0,01091
--	--	--	--	--	0,02618	0,09045	0,02142	0,01101
--	--	--	--	--	0,02632	0,09101	0,02157	0,01112
--	--	--	--	--	0,02647	0,09157	0,02172	0,01123
--	--	--	--	--	0,02661	0,09213	0,02187	0,01133
--	--	--	--	--	0,02675	0,09269	0,02202	0,01144
--	--	--	--	--	0,02689	0,09325	0,02217	0,01154
--	--	--	--	--	0,02703	0,09382	0,02232	0,01165
--	--	--	--	--	0,02718	0,09438	0,02247	0,01176
--	--	--	--	--	0,02723	0,09459	0,02262	0,01187
--	--	--	--	--	0,02732	0,09495	0,02277	0,01198
--	--	--	--	--	0,02746	0,09552	0,02292	0,01209
--	--	--	--	--	0,0276	0,09608	0,02307	0,0122
--	--	--	--	--	0,02774	0,09665	0,02322	0,01231
--	--	--	--	--	0,02789	0,09722	0,02323	0,01232
--	--	--	--	--	0,02803	0,09779	0,02336	0,01242
--	--	--	--	--	0,02817	0,09836	0,02351	0,01253
--	--	--	--	--	0,02831	0,09893	0,02366	0,01264
--	--	--	--	--	0,02845	0,0995	0,02381	0,01275
--	--	--	--	--	0,02859	0,10008	0,02396	0,01287
