AlphA. deg.	Ni Ka XRF, A.u. curve 2	Simulated fitting curve 3	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	Simulated fitting curve 5
0,118	0,3799	0,40151	0,98559	0,118	0,49086	0,4615
0,119	0,40198	0,40844	0,98538	0,119	0,43438	0,46897
0,12	0,44873	0,41544	0,98517	0,12	0,45047	0,47648
0,121	0,41781	0,42249	0,98496	0,121	0,49342	0,48404
0,122	0,43352	0,42961	0,98474	0,122	0,53863	0,49164
0,123	0,43349	0,43679	0,98452	0,123	0,48551	0,4993
0,124	0,43871	0,44403	0,98429	0,124	0,51678	0,507
0,125	0,44311	0,45133	0,98406	0,125	0,52491	0,51474
0,126	0,44996	0,45869	0,98383	0,126	0,53575	0,52253
0,127	0,46765	0,46612	0,98359	0,127	0,5487	0,53037
0,128	0,4877	0,47361	0,98335	0,128	0,56628	0,53824
0,129	0,50301	0,48116	0,9831	0,129	0,49965	0,54616
0,13	0,50221	0,48877	0,98284	0,13	0,56464	0,55412
0,131	0,47724	0,49645	0,98258	0,131	0,5713	0,56212
0,132	0,50759	0,50419	0,98232	0,132	0,60186	0,57015
0,133	0,47428	0,51198	0,98205	0,133	0,54806	0,57823
0,134	0,49904	0,51985	0,98177	0,134	0,59916	0,58635
0,135	0,53106	0,52777	0,98149	0,135	0,58143	0,5945
0,136	0,54821	0,53576	0,9812	0,136	0,61481	0,6027
0,137	0,56678	0,54381	0,9809	0,137	0,62155	0,61093
0,138	0,55777	0,55192	0,9806	0,138	0,62655	0,61919
0,139	0,56485	0,5601	0,98029	0,139	0,63171	0,62749
0,14	0,55363	0,56834	0,97997	0,14	0,65549	0,63582
0,141	0,57846	0,57664	0,97964	0,141	0,65575	0,64417
0,142	0,5804	0,58499	0,9793	0,142	0,63541	0,65257
0,143	0,56705	0,59341	0,97896	0,143	0,63135	0,66099
0,144	0,60033	0,6019	0,9786	0,144	0,66205	0,66944
0,145	0,64956	0,61045	0,97824	0,145	0,68118	0,67792
0,146	0,673	0,61907	0,97786	0,146	0,64324	0,68642
0,147	0,63111	0,62774	0,97747	0,147	0,65525	0,69495
0,148	0,63534	0,63647	0,97707	0,148	0,71385	0,7035
0,149	0,65641	0,64526	0,97666	0,149	0,72424	0,71207
0,15	0,66891	0,65411	0,97623	0,15	0,70207	0,72066
0,151	0,68307	0,66303	0,97579	0,151	0,67264	0,72927
0,152	0,69914	0,67201	0,97533	0,152	0,74308	0,73789
0,153	0,68728	0,68105	0,97486	0,153	0,72281	0,74653
0,154	0,6966	0,69015	0,97437	0,154	0,83396	0,75518
0,155	0,68616	0,6993	0,97386	0,155	0,77056	0,76384
0,156	0,72644	0,70852	0,97334	0,156	0,79062	0,77251
0,157	0,78489	0,71779	0,97279	0,157	0,7557	0,78118
0,158	0,77989	0,72713	0,97221	0,158	0,76898	0,78985
0,159	0,76849	0,73652	0,97161	0,159	0,80126	0,79853
0,16	0,77792	0,74597	0,97099	0,16	0,76848	0,8072
0,161	0,75513	0,75547	0,97034	0,161	0,87934	0,81587
0,162	0,76452	0,76503	0,96965	0,162	0,86121	0,82452
0,163	0,75231	0,77464	0,96893	0,163	0,81647	0,83315
0,164	0,8148	0,7843	0,96818	0,164	0,79226	0,84177
0,165	0,79269	0,79402	0,96738	0,165	0,83085	0,85036
0,166	0,81695	0,80378	0,96654	0,166	0,8116	0,85892
0,167	0,83185	0,81359	0,96565	0,167	0,85955	0,86746
0,168	0,86031	0,82345	0,9647	0,168	0,81905	0,87594
0,169	0,86534	0,83334	0,9637	0,169	0,89363	0,88438
0,17	0,91602	0,84327	0,96262	0,17	0,85654	0,89276
0,171	0,87677	0,85323	0,96147	0,171	0,85214	0,90108
0,172	0,87984	0,86323	0,96023	0,172	0,90622	0,90931
0,173	0,90345	0,87324	0,95889	0,173	0,93191	0,91746
0,174	0,90603	0,88327	0,95744	0,174	0,92109	0,92547
0,175	0,9162	0,89334	0,95585	0,175	0,91191	0,9334
0,176	0,89142	0,90331	0,95412	0,176	0,947	0,94124
0,177	0,8844	0,91338	0,9522	0,177	0,947	0,94881
0,178	0,91798	0,92327	0,95006	0,178	0,95573	0,95618
0,179	0,92092	0,93325	0,94765	0,179	0,94882	0,96338
0,18	0,93108	0,94305	0,94492	0,18	0,99109	0,9703
0,181	0,96077	0,95267	0,94177	0,181	0,93264	0,97685
0,182	0,96808	0,96212	0,93808	0,182	0,92318	0,98303
0,183	0,98448	0,97131	0,93365	0,183	0,98427	0,98865
0,184	0,92493	0,98005	0,92816	0,184	0,98445	0,99354
0,185	0,98787	0,98808	0,92104	0,185	1,09173	0,99751
0,186	0,93777	0,99497	0,91115	0,186	1,05891	1
0,187	1	0,99974	0,89625	0,187	0,96864	1,00018
0,188	0,98065	1	0,87243	0,188	0,92818	0,99585
0,189	0,99616	0,99135	0,8346	0,189	0,91418	0,98284
0,19	0,96933	0,96804	0,77922	0,19	0,89087	0,95637
0,191	0,95756	0,92848	0,70821	0,191	0,89291	0,91587
0,192	0,88811	0,87945	0,62988	0,192	0,8557	0,86862
0,193	0,81421	0,83296	0,55479	0,193	0,79919	0,82557
0,194	0,78801	0,79788	0,49007	0,194	0,83929	0,794
0,195	0,78636	0,776	0,43744	0,195	0,78385	0,77462
