Mean molecule area A2/molecule	Surface pressure, mN/m	Cs-1, mN/m
202,4	5,75634	57,54434
202	5,8264	57,58616
201,57	5,90054	57,69538
201,13	5,9675	57,79672
200,72	6,03778	57,96794
200,28	6,10804	58,25144
199,84	6,18584	58,5831
199,41	6,25426	58,89176
199	6,3307	59,23633
198,56	6,40574	59,58388
198,12	6,4812	59,86394
197,72	6,55046	60,16026
197,29	6,63036	60,50687
196,85	6,70514	60,92704
196,45	6,78626	61,29829
196,01	6,86748	61,69611
195,57	6,9501	62,07392
195,17	7,0295	62,48172
194,73	7,10892	62,7829
194,33	7,18608	63,12616
193,89	7,26212	63,4253
193,45	7,3417	63,676
193,05	7,42922	63,79916
192,61	7,51552	63,94074
192,17	7,59776	64,0003
191,77	7,6874	64,09145
191,33	7,77336	64,21609
190,89	7,8562	64,40819
190,49	7,93892	64,61421
190,05	8,02642	64,83746
189,61	8,11056	65,03054
189,21	8,19336	65,24907
188,77	8,27464	65,42202
188,33	8,36234	65,6443
187,93	8,44526	65,95403
187,49	8,53196	66,24584
187,05	8,62208	66,558
186,62	8,7134	66,91073
186,21	8,80266	67,27767
185,78	8,89592	67,64436
185,38	8,98696	68,06041
184,94	9,08466	68,47034
184,49	9,17612	68,87012
184,09	9,2688	69,23809
183,65	9,36524	69,54458
183,21	9,45974	69,79202
182,82	9,54962	70,00543
182,37	9,64532	70,15409
181,94	9,7422	70,26705
181,54	9,84096	70,35038
181,1	9,9391	70,4316
180,66	10,03894	70,51521
180,26	10,14034	70,6511
179,82	10,24068	70,79873
179,38	10,3361	70,9717
178,97	10,43628	71,20142
178,54	10,5346	71,44635
178,1	10,6316	71,63894
177,69	10,72768	71,76721
177,26	10,8267	71,9197
176,82	10,92794	72,12134
176,42	11,03148	72,3816
175,98	11,13248	72,72901
175,53	11,23962	73,22761
175,14	11,34704	73,79699
174,7	11,45386	74,33136
174,26	11,56124	74,88823
173,86	11,66766	75,42916
173,42	11,76618	75,92674
172,98	11,87516	76,44505
172,58	11,98598	76,90165
172,14	12,09718	77,35627
171,75	12,21482	77,86802
171,3	12,33826	78,33206
170,86	12,45288	78,74937
170,46	12,56808	79,27583
170,02	12,68396	79,76998
169,59	12,79728	80,2466
169,18	12,91438	80,70224
168,74	13,0396	81,05932
168,31	13,15352	81,38462
167,86	13,27698	81,74614
167,46	13,40198	82,20444
167,03	13,52624	82,80512
166,58	13,64228	83,61483
166,19	13,77494	84,53088
165,74	13,89926	85,47875
165,3	14,02338	86,50314
164,91	14,14948	87,52763
164,47	14,28012	88,51775
164,03	14,40756	89,60467
163,63	14,54476	90,64938
163,19	14,68676	91,68993
162,79	14,83492	92,77565
162,35	14,98704	93,81395
161,9	15,1351	94,75845
161,47	15,28462	95,805
161,07	15,43762	96,78213
160,63	15,58624	97,66304
160,23	15,73618	98,47576
159,79	15,89254	99,20402
159,35	16,04584	99,77063
158,95	16,20228	100,37851
158,51	16,36074	100,94709
158,07	16,51784	101,60582
157,67	16,67958	102,39405
157,23	16,849	103,23879
156,79	17,01004	104,14933
156,39	17,1767	105,19417
155,95	17,34288	106,19415
155,51	17,512	107,17438
155,11	17,67626	108,18147
154,67	17,85448	109,13825
154,23	18,02832	110,06007
153,83	18,21098	111,05757
153,4	18,39448	111,98967
152,96	18,5832	112,91813
152,56	18,7723	113,81434
152,12	18,9669	114,55092
151,71	19,155	115,14486
151,28	19,34536	115,59456
150,83	19,53506	115,85554
150,44	19,72876	115,97269
150	19,92156	115,968
149,56	20,12584	115,82824
149,11	20,32506	115,58858
148,71	20,52898	115,35286
148,28	20,72092	115,0549
147,87	20,91514	114,76339
147,44	21,10214	114,47831
146,99	21,2961	114,20241
146,59	21,48402	113,94294
146,15	21,67646	113,70032
145,72	21,87004	113,49548
145,27	22,06346	113,3382
144,87	22,25404	113,29413
144,44	22,4521	113,27707
144	22,64536	113,30352
143,6	22,84254	113,31476
143,16	23,03818	113,23813
142,72	23,2418	113,11416
142,32	23,43816	113,0035
141,88	23,64496	112,78751
141,44	23,84702	112,52118
141	24,05544	112,23318
140,6	24,25384	111,88526
140,16	24,4546	111,41038
139,72	24,65038	110,88878
139,32	24,84524	110,35816
138,88	25,03682	109,73603
138,44	25,23722	109,07826
138,04	25,43494	108,47183
137,6	25,63232	107,79997
137,16	25,82874	107,10139
136,76	26,02818	106,40475
136,32	26,2187	105,67117
135,88	26,41148	104,84908
135,44	26,60282	103,94207
135,04	26,79952	102,76274
134,6	26,98964	101,42918
134,16	27,18388	100,04445
133,76	27,37686	98,78711
133,32	27,56942	97,62357
132,92	27,75114	96,84152
132,53	27,93502	96,24726
132,12	28,1135	95,80946
131,68	28,28802	95,38109
131,28	28,458	95,00996
130,89	28,5995	94,63478
130,45	28,76154	94,25012
130,01	28,93402	93,81652
129,57	29,1166	93,36166
129,17	29,3037	92,95461
128,73	29,524	92,58262
128,29	29,72276	92,19176
127,89	29,91744	91,79944
127,49	30,10114	91,39758
127,09	30,28138	90,90621
126,69	30,4562	90,31477
126,29	30,62904	89,43732
125,89	30,79554	88,39366
125,45	30,95926	87,20908
125,04	31,12716	86,06628
124,65	31,29976	84,91657
124,25	31,47002	83,97188
123,85	31,63516	83,14051
123,41	31,80716	82,37618
123,01	31,971	81,65896
122,57	32,13672	80,97342
122,17	32,3052	80,32189
121,77	32,47148	79,66072
121,37	32,63478	78,98031
120,97	32,80614	78,23493
120,57	32,96538	77,43608
120,17	33,12114	76,624
119,77	33,27926	75,7665
119,37	33,43454	74,8056
118,97	33,58704	73,7495
118,57	33,74604	72,58618
118,17	33,90108	71,34868
117,77	34,05332	70,08139
117,38	34,20928	68,8105
116,98	34,35958	67,57233
116,58	34,5061	66,40863
116,17	34,6514	65,31426
115,77	34,7912	64,3195
115,37	34,92464	63,38659
114,97	35,04794	62,56208
114,57	35,17372	61,82312
114,18	35,29838	61,20162
113,73	35,42338	60,6306
113,34	35,54968	60,12914
112,94	35,68302	59,68653
112,54	35,81042	59,21405
112,14	35,94712	58,63913
111,74	36,08856	57,9763
111,33	36,22066	57,1802
110,94	36,36158	56,19333
110,54	36,5001	54,97375
110,14	36,63464	53,58641
109,74	36,76664	52,00798
109,34	36,89158	50,29859
108,94	37,01452	48,45542
108,54	37,12428	46,52676
108,14	37,2218	44,49096
107,74	37,3178	42,37199
107,34	37,40794	40,26753
106,94	37,4872	38,13694
106,51	37,56726	36,07707
106,11	37,65026	34,13346
105,67	37,7257	32,30332
105,27	37,80606	30,63041
104,84	37,87998	29,12665
104,43	37,94892	27,82851
104	38,01386	26,67704
103,56	38,0667	25,63835
103,16	38,12288	24,71198
102,72	38,17392	23,81871
102,32	38,22592	22,96572
101,93	38,27684	22,11983
101,53	38,32674	21,27866
101,09	38,37468	20,43433
100,69	38,42874	19,60535
100,26	38,4819	18,77569
99,82	38,5342	17,95163
99,42	38,58786	17,14001
99,02	38,63663	16,33533
98,62	38,6761	15,53561
