AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	0,12081	0,5107	0,00677	0,01001	0,01027	0,00618
--	--	--	0,12292	0,47995	0,00687	0,01018	0,01036	0,00625
--	--	--	--	--	0,00697	0,01034	0,01046	0,00633
--	--	--	--	--	0,00707	0,01051	0,01056	0,0064
--	--	--	--	--	0,00717	0,01068	0,01065	0,00647
--	--	--	--	--	0,00727	0,01085	0,01075	0,00655
--	--	--	--	--	0,00727	0,01085	0,01085	0,00662
--	--	--	--	--	0,00737	0,01101	0,01094	0,0067
--	--	--	--	--	0,00747	0,01118	0,01104	0,00677
--	--	--	--	--	0,00757	0,01135	0,01113	0,00685
--	--	--	--	--	0,00767	0,01152	0,01119	0,00689
--	--	--	--	--	0,00777	0,01169	0,01123	0,00692
--	--	--	--	--	0,00787	0,01186	0,01133	0,007
--	--	--	--	--	0,00797	0,01204	0,01142	0,00707
--	--	--	--	--	0,00808	0,01221	0,01152	0,00715
--	--	--	--	--	0,00818	0,01238	0,01162	0,00723
--	--	--	--	--	0,00828	0,01255	0,01171	0,00731
--	--	--	--	--	0,00838	0,01273	0,01181	0,00738
--	--	--	--	--	0,00848	0,0129	0,0119	0,00746
--	--	--	--	--	0,00858	0,01308	0,01195	0,00749
--	--	--	--	--	0,00868	0,01325	0,012	0,00754
--	--	--	--	--	0,00878	0,01343	0,0121	0,00762
--	--	--	--	--	0,00878	0,01343	0,01219	0,0077
--	--	--	--	--	0,00888	0,01361	0,01229	0,00778
--	--	--	--	--	0,00898	0,01378	0,01239	0,00786
--	--	--	--	--	0,00908	0,01396	0,01248	0,00794
--	--	--	--	--	0,00918	0,01414	0,01258	0,00802
--	--	--	--	--	0,00928	0,01432	0,01267	0,0081
--	--	--	--	--	0,00938	0,0145	0,01277	0,00818
--	--	--	--	--	0,00948	0,01468	0,01287	0,00826
--	--	--	--	--	0,00958	0,01486	0,01296	0,00834
--	--	--	--	--	0,00968	0,01504	0,01306	0,00843
--	--	--	--	--	0,00978	0,01522	0,01316	0,00851
--	--	--	--	--	0,00988	0,0154	0,01325	0,00859
--	--	--	--	--	0,00998	0,01559	0,01335	0,00867
--	--	--	--	--	0,01009	0,01577	0,01345	0,00876
--	--	--	--	--	0,01019	0,01595	0,01354	0,00884
--	--	--	--	--	0,01029	0,01614	0,01364	0,00893
--	--	--	--	--	0,01029	0,01614	0,01373	0,00901
--	--	--	--	--	0,01039	0,01632	0,01383	0,0091
--	--	--	--	--	0,01049	0,01651	0,01393	0,00918
--	--	--	--	--	0,01059	0,0167	0,01402	0,00927
--	--	--	--	--	0,01069	0,01688	0,01406	0,0093
--	--	--	--	--	0,01079	0,01707	0,01412	0,00935
--	--	--	--	--	0,01089	0,01726	0,01422	0,00944
--	--	--	--	--	0,01099	0,01745	0,01431	0,00953
--	--	--	--	--	0,01109	0,01764	0,01441	0,00962
--	--	--	--	--	0,01119	0,01783	0,0145	0,0097
--	--	--	--	--	0,01129	0,01802	0,0146	0,00979
--	--	--	--	--	0,01139	0,01821	0,0147	0,00988
--	--	--	--	--	0,01149	0,0184	0,01479	0,00997
--	--	--	--	--	0,01159	0,0186	0,01489	0,01006
--	--	--	--	--	0,01169	0,01879	0,01499	0,01015
--	--	--	--	--	0,01179	0,01898	0,01508	0,01024
--	--	--	--	--	0,01189	0,01918	0,01518	0,01033
--	--	--	--	--	0,012	0,01937	0,01527	0,01042
--	--	--	--	--	0,0121	0,01957	0,01537	0,01051
--	--	--	--	--	0,0122	0,01977	0,01547	0,0106
--	--	--	--	--	0,0123	0,01996	0,01556	0,0107
--	--	--	--	--	0,0124	0,02016	0,01566	0,01079
--	--	--	--	--	0,0125	0,02036	0,01576	0,01088
--	--	--	--	--	0,0126	0,02056	0,01585	0,01098
--	--	--	--	--	0,0127	0,02076	0,01595	0,01107
--	--	--	--	--	0,0128	0,02096	0,01605	0,01116
--	--	--	--	--	0,0129	0,02116	0,01614	0,01126
--	--	--	--	--	0,013	0,02136	0,01624	0,01135
--	--	--	--	--	0,013	0,02136	0,01632	0,01143
--	--	--	--	--	0,0131	0,02156	0,01633	0,01145
--	--	--	--	--	0,0132	0,02177	0,01643	0,01155
--	--	--	--	--	0,0133	0,02197	0,01653	0,01164
--	--	--	--	--	0,0134	0,02217	0,01662	0,01174
--	--	--	--	--	0,0135	0,02238	0,01672	0,01184
--	--	--	--	--	0,0136	0,02258	0,01682	0,01193
--	--	--	--	--	0,0137	0,02279	0,01691	0,01203
--	--	--	--	--	0,0138	0,023	0,01701	0,01213
--	--	--	--	--	0,01391	0,0232	0,01707	0,0122
--	--	--	--	--	0,01401	0,02341	0,0171	0,01223
--	--	--	--	--	0,01411	0,02362	0,0172	0,01233
--	--	--	--	--	0,01421	0,02383	0,0173	0,01243
--	--	--	--	--	0,01431	0,02404	0,01739	0,01253
--	--	--	--	--	0,01441	0,02425	0,01749	0,01263
--	--	--	--	--	0,01451	0,02446	0,01759	0,01273
--	--	--	--	--	0,01451	0,02446	0,01768	0,01283
--	--	--	--	--	0,01461	0,02467	0,01778	0,01294
--	--	--	--	--	0,01471	0,02489	0,01787	0,01304
--	--	--	--	--	0,01481	0,0251	0,01797	0,01314
--	--	--	--	--	0,01491	0,02532	0,01807	0,01324
--	--	--	--	--	0,01501	0,02553	0,01816	0,01335
--	--	--	--	--	0,01511	0,02575	0,01826	0,01345
--	--	--	--	--	0,01521	0,02596	0,01836	0,01356
--	--	--	--	--	0,01531	0,02618	0,01845	0,01366
--	--	--	--	--	0,01541	0,0264	0,01855	0,01377
--	--	--	--	--	0,01551	0,02662	0,01864	0,01388
--	--	--	--	--	0,01561	0,02684	0,01874	0,01398
--	--	--	--	--	0,01571	0,02706	0,01884	0,01409
--	--	--	--	--	0,01572	0,02706	0,01893	0,0142
--	--	--	--	--	0,01581	0,02728	0,01903	0,01431
--	--	--	--	--	0,01592	0,0275	0,01913	0,01441
--	--	--	--	--	0,01602	0,02772	0,01922	0,01452
--	--	--	--	--	0,01612	0,02794	0,01932	0,01463
--	--	--	--	--	0,01622	0,02817	0,01942	0,01474
--	--	--	--	--	0,01632	0,02839	0,01951	0,01485
--	--	--	--	--	0,01642	0,02861	0,01961	0,01496
--	--	--	--	--	0,01652	0,02884	0,01964	0,015
--	--	--	--	--	0,01662	0,02907	0,0197	0,01508
--	--	--	--	--	0,01672	0,02929	0,0198	0,01519
--	--	--	--	--	0,01682	0,02952	0,0199	0,0153
--	--	--	--	--	0,01692	0,02975	0,01999	0,01541
--	--	--	--	--	0,01702	0,02998	0,02009	0,01553
--	--	--	--	--	0,01712	0,03021	0,02019	0,01564
--	--	--	--	--	0,01722	0,03044	0,02028	0,01575
--	--	--	--	--	0,01722	0,03044	0,02038	0,01587
--	--	--	--	--	0,01732	0,03067	0,02047	0,01599
--	--	--	--	--	0,01742	0,0309	0,02057	0,0161
