Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3	Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4
221,32256	0,02095	221,36256	-0,00716	222,52811	0,32363	339	-0,03184
221,92534	0,02095	221,96534	-0,00716	223,13084	0,14592	339,5	-0,03065
222,52811	0,0283	222,56811	-0,01959	223,73357	0,13205	340	-0,02852
223,13084	0,02592	223,17084	-0,01793	224,33626	0,11655	340,5	-0,02705
223,73357	0,04955	223,77357	-0,01141	224,93892	0,29497	341	-0,02588
224,33626	0,03043	224,37626	0,00481	225,54155	0,2927	341,5	-0,02365
224,93892	0,02431	224,97892	0,00883	226,14417	0,29728	342	-0,02336
225,54155	0,01577	225,58155	-0,0124	226,74675	0,27849	342,5	-0,02217
226,14417	0,0188	226,18417	-0,00473	227,34932	0,3007	343	-0,02032
226,74675	0,02358	226,78675	0,00686	227,95186	0,2911	343,5	-0,01938
227,34932	0,04257	227,38932	0,02032	228,55437	0,28996	344	-0,01921
227,95186	0,02666	227,99186	0,01966	229,15685	0,29351	344,5	-0,0179
228,55437	0,02703	228,59437	0,0134	229,75931	0,289	345	-0,016
229,15685	0,01001	229,19685	0,00601	230,36174	0,28824	345,5	-0,01469
229,75931	0,01199	229,79931	0,00444	230,96416	0,29616	346	-0,01384
230,36174	0,01022	230,40174	2,59693E-4	231,56654	0,2807	346,5	-0,01399
230,96416	0,01645	231,00416	-0,00564	232,1689	0,08807	347	-0,0117
231,56654	0,00115	231,60654	-0,0092	232,77122	0,09382	347,5	-0,01217
232,1689	-0,00278	232,2089	-0,03151	233,37354	0,0857	348	-0,01101
232,77122	-0,00597	232,81122	-0,03172	233,97581	0,08258	348,5	-0,01104
233,37354	-0,01017	233,41354	-0,03494	234,57806	0,07745	349	-0,01024
233,97581	-0,01212	234,01581	-0,03671	235,1803	0,0735	349,5	-0,00944
234,57806	-0,01226	234,61806	-0,03852	235,7825	0,0581	350	-0,00917
235,1803	-0,01278	235,2203	-0,03914	236,38467	0,06805	350,5	-0,00787
235,7825	-0,00725	235,8225	-0,03864	236,98683	0,07639	351	-0,00879
236,38467	-0,03074	236,42467	-0,04624	237,58896	-0,1166	351,5	-0,0077
236,98683	-0,02685	237,02683	-0,06336	238,19106	-0,10494	352	-0,00871
237,58896	-0,01989	237,62896	-0,06323	238,79312	-0,1007	352,5	-0,00842
238,19106	-0,0197	238,23106	-0,05662	239,39517	-0,10955	353	-0,00625
238,79312	-0,02104	238,83312	-0,05935	239,99719	-0,10503	353,5	-0,00677
239,39517	-0,02246	239,43517	-0,06272	240,5992	-0,10091	354	-0,00555
239,99719	-0,02855	240,03719	-0,06362	241,20117	-0,1031	354,5	-0,00653
240,5992	-0,02192	240,6392	-0,06134	241,80312	-0,09637	355	-0,00581
241,20117	-0,02313	241,24117	-0,0567	242,40503	-0,09546	355,5	-0,0061
241,80312	-0,01964	241,84312	-0,0586	243,00693	-0,09798	356	-0,00663
242,40503	-0,02214	242,44503	-0,05877	243,6088	-0,09259	356,5	-0,00583
243,00693	-0,02078	243,04693	-0,05632	244,21063	-0,09036	357	-0,00544
