AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
0,12076	0,45279	0,05603	0,12076	0,64679	0,00757	0,01026	0,008	0,00342
--	--	--	--	--	0,00766	0,0104	0,0081	0,00347
--	--	--	--	--	0,00775	0,01054	0,00819	0,00352
--	--	--	--	--	0,00783	0,01068	0,00829	0,00357
--	--	--	--	--	0,00792	0,01082	0,00838	0,00362
--	--	--	--	--	0,00801	0,01096	0,00848	0,00367
--	--	--	--	--	0,0081	0,0111	0,00857	0,00372
--	--	--	--	--	0,00819	0,01125	0,00867	0,00377
--	--	--	--	--	0,00828	0,01139	0,00876	0,00383
--	--	--	--	--	0,00837	0,01153	0,00885	0,00388
--	--	--	--	--	0,00846	0,01168	0,00895	0,00393
--	--	--	--	--	0,00855	0,01182	0,00904	0,00398
--	--	--	--	--	0,00864	0,01197	0,00914	0,00403
--	--	--	--	--	0,00873	0,01211	0,00923	0,00409
--	--	--	--	--	0,00876	0,01217	0,00933	0,00414
--	--	--	--	--	0,00882	0,01226	0,00942	0,00419
--	--	--	--	--	0,00891	0,01241	0,00952	0,00425
--	--	--	--	--	0,009	0,01256	0,00961	0,0043
--	--	--	--	--	0,00909	0,0127	0,00971	0,00435
--	--	--	--	--	0,00917	0,01285	0,0098	0,00441
--	--	--	--	--	0,00926	0,013	0,0099	0,00446
--	--	--	--	--	0,00935	0,01315	0,00999	0,00452
--	--	--	--	--	0,00944	0,0133	0,01008	0,00457
--	--	--	--	--	0,00953	0,01345	0,01018	0,00463
--	--	--	--	--	0,00962	0,0136	0,01027	0,00468
--	--	--	--	--	0,00971	0,01375	0,01037	0,00474
--	--	--	--	--	0,0098	0,01391	0,01046	0,00479
--	--	--	--	--	0,00989	0,01406	0,0105	0,00482
--	--	--	--	--	0,00998	0,01421	0,01056	0,00485
--	--	--	--	--	0,01007	0,01437	0,01065	0,00491
--	--	--	--	--	0,01016	0,01452	0,01075	0,00496
--	--	--	--	--	0,01025	0,01468	0,01084	0,00502
--	--	--	--	--	0,01034	0,01483	0,01094	0,00508
--	--	--	--	--	0,01042	0,01499	0,01103	0,00514
--	--	--	--	--	0,0105	0,01512	0,01112	0,00519
--	--	--	--	--	0,01051	0,01514	0,01122	0,00525
--	--	--	--	--	0,0106	0,0153	0,01131	0,00531
--	--	--	--	--	0,01069	0,01546	0,01141	0,00537
--	--	--	--	--	0,01078	0,01562	0,0115	0,00543
--	--	--	--	--	0,01087	0,01578	0,0116	0,00549
--	--	--	--	--	0,01096	0,01593	0,01169	0,00555
--	--	--	--	--	0,01105	0,01609	0,01179	0,00561
--	--	--	--	--	0,01114	0,01625	0,01188	0,00567
--	--	--	--	--	0,01123	0,01642	0,01198	0,00573
--	--	--	--	--	0,01132	0,01658	0,01207	0,00579
--	--	--	--	--	0,01141	0,01674	0,01217	0,00585
--	--	--	--	--	0,0115	0,0169	0,01226	0,00591
--	--	--	--	--	0,01159	0,01706	0,01235	0,00598
--	--	--	--	--	0,01168	0,01723	0,01245	0,00604
--	--	--	--	--	0,01176	0,01739	0,01254	0,0061
--	--	--	--	--	0,01185	0,01756	0,01264	0,00616
--	--	--	--	--	0,01194	0,01772	0,01273	0,00623
--	--	--	--	--	0,01203	0,01789	0,01283	0,00629
--	--	--	--	--	0,01212	0,01806	0,01292	0,00636
--	--	--	--	--	0,01221	0,01822	0,01302	0,00642
--	--	--	--	--	0,01226	0,01831	0,01311	0,00648
--	--	--	--	--	0,0123	0,01839	0,01321	0,00655
--	--	--	--	--	0,01239	0,01856	0,0133	0,00661
--	--	--	--	--	0,01248	0,01873	0,0134	0,00668
--	--	--	--	--	0,01257	0,0189	0,01349	0,00674
--	--	--	--	--	0,01266	0,01907	0,01358	0,00681
--	--	--	--	--	0,01275	0,01924	0,01368	0,00688
--	--	--	--	--	0,01284	0,01941	0,01377	0,00694
--	--	--	--	--	0,01293	0,01958	0,01387	0,00701
--	--	--	--	--	0,01302	0,01975	0,01396	0,00708
--	--	--	--	--	0,0131	0,01993	0,014	0,00711
--	--	--	--	--	0,01319	0,0201	0,01406	0,00715
--	--	--	--	--	0,01328	0,02028	0,01415	0,00721
--	--	--	--	--	0,01337	0,02045	0,01425	0,00728
--	--	--	--	--	0,01346	0,02063	0,01434	0,00735
--	--	--	--	--	0,01355	0,0208	0,01444	0,00742
